Es	Es
war	war
einmal	einmal
ein	ein
Kind	Kind
und	und
hies	hieß
Lars	Lars
und	und
^	
er	er
hatte	hatte
auch	auch
ein	ein
Hund	Hund
er	er
hies	hieß
Dodo	Dodo
.	.
Dodo	Dodo
lag	lag
^	
an	an
der	der
ecke	Ecke
der	der
Kind	Kind
Lars	Lars
Staubte	staubte
den	den
^	
Boden	Boden
.	.
Er	Er
war	war
traurig	traurig
weil	weil
Lars	Lars
seine	seine
auf_^gestaub	aufgestaubt
hatte	hatte
.	.
Danach	Danach
hatte	hatte
Lars	Lars
den	den
^	
Staubsauger_tüte	Staubsaugertüte
raus_gehold	rausgeholt
weil	weil
^	
der	der
Staubsauger	Staubsauger
nicht	nicht
meer	mehr
zog	zog
und	und
^	
Dodo	Dodo
hatte	hatte
gdacht	gedacht
er	er
hatte	hatte
seine	seine
Hunde-^futter	Hundefutter
rausgeholt	rausgeholt
.	.
Dann	Dann
wollte	wollte
Lars	Lars
den	den
^	
Staub_sauger_Tüte	Staubsaugertüte
ins	ins
müll	Müll
schmeisen	schmeißen
aber	aber
^	
Dodo	Dodo
hatte	hatte
Lars	Lars
Hose	Hose
gekratzt	gekratzt
.	.
Und	Und
Dann	dann
^	
wollte	wollte
Dodo	Dodo
seine	seine
Hunde_futter	Hundefutter
raus_holen	rausholen
^	
also	also
Dodo	Dodo
denn	den
Staubsauger_tüte	Staubsaugertüte
gekratzt	gekratzt
^	
aber	aber
lars	Lars
hatte	hatte
in	ihn
nich	nicht
zu_gelassen	zugelassen
^	
das	dass
er	er
den	den
Staubsauger_tüte	Staubsaugertüte
riss	riss
.	.
^	
Dodo	Dodo
hatte	hatte
aber	aber
Lars	Lars
nicht	nicht
gehört	gehört
^	
dann	dann
hatte	hatte
Dodo	Dodo
denn	den
Staubsaugertute	Staubsaugertüte
^	
gerissen	gerissen
aber	aber
lars	Lars
sehr	sehr
traurig	traurig
weil	weil
^	
Dodo	Dodo
den	den
Staubsauger_tute	Staubsaugertüte
gerissen	gerissen
hatt	hatte
.	.
^	
Aber	Aber
Dodo	Dodo
war	war
sehr	sehr
fröhlich	fröhlich
weil	weil
er	er
^	
seine	seine
kekse	Kekse
wider	wieder
essen	essen
konnte	konnte
.	.
