Die	Die
Geschichte	Geschichte
von	von
dem	dem
Frosch	Frosch
und	und
^	
Dodo	Dodo
\h	\h
Einmal	Einmal
gingen	gingen
Lars	Lars
und	und
Lea	Lea
mit	mit
^	
Dodo	Dodo
im	im
Park	Park
spatziren	spazieren
da	da
hat	hat
^	
Dodo	Dodo
viel	viel
gerund	gerannt
und	und
,	,
Lars	Lars
^	
hat	hat
die	die
Leine	Leine
faln|	fallen
gelassen	gelassen
da	da
^	
hat	hat
Lars	Lars
gesagt	gesagt
Dodo	Dodo
komm	komm
^	
züruk	zurück
aber	aber
Dodo	Dodo
hat	hat
nicht	nicht
auf	auf
^	
Lars	Lars
gehört	gehört
.	.
^	
Da	Da
haben	haben
Lars	Lars
und	und
Lea	Lea
schnell	schnell
^	
gerant	gerannt
damit	damit
sie	sie
Dodo	Dodo
fangen	fangen
^	
können	können
aber	aber
Dodo	Dodo
hat	hat
etwas	etwas
^	
gefunden	gefunden
Dodo	Dodo
hat	hat
einen	einen
Frosch	Frosch
^	
gefunden	gefunden
da	da
ist	ist
Dodo	Dodo
einfach	einfach
^	
weiter	weiter
gerant	gerannt
.	.
^	
Lars	Lars
und	und
Lea	Lea
rennen	rennen
so	so
schnell	schnell
^	
wie	wie
es	es
geht	geht
da	da
ist	ist
der	der
^	
Frosch	Frosch
über	über
einer	einer
Mauer	Mauer
gesprungen	gesprungen
^	
und	und
Dodo	Dodo
wollte	wollte
auch	auch
über	über
^	
der	der
Mauer	Mauer
springen	springen
da	da
hat	hat
es	es
^	
auch	auch
Dodo	Dodo
geschaft	geschafft
über	über
der	der
^	
Mauer	Mauer
zu	zu
springen	springen
.	.
^	
Da	Da
haben	haben
Lars	Lars
und	und
Lea	Lea
den	den
Frosch	Frosch
^	
und	und
Dodo	Dodo
gefunden	gefunden
Lars	Lars
und	und
Lea	Lea
^	
lachen	lachen
darüber	darüber
das	dass
Dodo	Dodo
plitz_^nass	plitschnass
ist	ist
.	.
^	
Und	Und
das	das
war	war
die	die
Geschichte	Geschichte
^	
von	von
Dodo	Dodo
und	und
den	den
Frosch	Frosch
