ein	Ein
Hund	Hund
in	in
der	der
Schule	Schule
\h	\h
Lea	Lea
geht	geht
zur	zur
schule	Schule
und	und
sieht	sieht
Lars	Lars
im	im
weg	Weg
.	.
^	
Sie	Sie
freuen	freuen
sich	sich
.	.
zusammen	zusammen
zur	zur
schule	Schule
zu	zu
gehen	gehen
.	.
^	
Lea	Lea
hat	hat
Dodo	Dodo
dabei	dabei
.	.
In	In
der	der
Klasse	Klasse
ist	ist
dodo	Dodo
^	
unter	unter
Leas	Leas
Jacke	Jacke
.	.
bist	bis
Jetzt	jetzt
lauft	lauft
alles	alles
gut	gut
.	.
^	
als	als
lea	Lea
Mathestunde	Mathestunde
hatte	hatte
.	.
War	War
dodo	Dodo
warm	warm
in	in
der	der
^	
Jack	Jacke
.	.
Dann	Dann
wollte	wollte
er	er
raus	raus
.	.
Plözlich	Plötzlich
Bellte	bellte
er|	er
ganz	ganz
^	
laut	laut
.	.
lea	Lea
erschreckte	erschreckte
sich	sich
