Das	Das
Hundeleckerli	Hundeleckerli
für	für
Dodo	Dodo
\h	\h
Als	Als
Lars	Lars
heute	heute
Staubsaugt	staubsaugt
^	
wacht	wacht
Dodo	Dodo
erschrocken	erschrocken
auf	auf
.	.
^	
Dodo	Dodo
schaut	schaut
sich	sich
um	um
.	.
Als	Als
er	er
^	
siht	sieht
das	dass
sein	sein
Hundenapf	Hundenapf
und	und
^	
das	das
Lekerchen	Leckerchen
.	.
Lars	Lars
ist	ist
immer	immer
^	
näher	näher
bei	bei
dem	dem
Läckerchen	Leckerchen
.	.
^	
Als	Als
Lars	Lars
dann	dann
das	das
Leckerchen	Leckerchen
^	
eingesaugt	eingesaugt
hat	hat
hat	hat
sich	sich
Dodo	Dodo
^	
erschrocken	erschrocken
.	.
Lars	Lars
holt	holt
den	den
Beutel	Beutel
^	
raus	raus
.	.
Dann	Dann
wil	will
Lars	Lars
grad	grad
zum	zum
^	
Mülleimer	Mülleimer
.	.
Aber	Aber
Dodo	Dodo
haltet	haltet
ihn	ihn
auf	auf
.	.
^	
Er	Er
klamert	klammert
sich	sich
an	an
Lars	Lars
fest	fest
.	.
^	
Als	Als
Lars	Lars
weiter	weiter
gehen	gehen
wil	will
^	
haltet	haltet
Dodo	Dodo
siech	sich
an	an
dem	dem
Beutel	Beutel
^	
fest	fest
.	.
Lars	Lars
aber	aber
möchte	möchte
ihn	ihn
daran	daran
^	
verhindern	verhindern
das	dass
Dodo	Dodo
den	den
Beutel	Beutel
^	
zerreist	zerreißt
.	.
Dodo	Dodo
ziht	zieht
immer	immer
fester	fester
.	.
^	
Lars	Lars
ruft	ruft
hör	hör
auf	auf
.	.
^	
Er	Er
hört	hört
einfach	einfach
^	
nicht	nicht
auf	auf
zu	zu
zihen	ziehen
.	.
Er	Er
möchte	möchte
^	
nur	nur
sein	sein
Leckerchen	Leckerchen
zurück	zurück
^	
und	und
das	das
kann	kann
Lars	Lars
nicht	nicht
^	
verhindern	verhindern
.	.
Dodo	Dodo
bellt	bellt
und	und
bellt	bellt
^	
immer	immer
weiter	weiter
.	.
Bis	Bis
der	der
Beuter	Beutel
^	
kaput	kaputt
geht	geht
.	.
Der	Der
ganze	ganze
Beutel	Beutel
^	
ist	ist
leer	leer
.	.
Dodo	Dodo
freut	freut
^	
sich	sich
sehr	sehr
und	und
fangt	fangt
seine	seine
^	
Leckerchen	Leckerchen
wider	wieder
auf	auf
.	.
Für	Für
Lars	Lars
^	
nicht	nicht
so	so
schön	schön
.	.
Und	Und
muss	muss
^	
ales	alles
wider	wieder
sauber	sauber
machen	machen
^	
so	so
was	was
hat	hat
Lars	Lars
noch	noch
^	
nie	nie
erlebt	erlebt
und	und
möchte	möchte
^	
gleich	gleich
wider	wieder
von	von
vorne	vorne
^	
anfangen	anfangen
.	.
Aber	Aber
er	er
denkt	denkt
^	
das	das
macht	macht
einfach	einfach
kein	kein
^	
sin	Sinn
.	.
Wenn	Wenn
Lars	Lars
wieder	wieder
saugt	saugt
.	.
^	
Dann	Dann
muss	muss
ich	ich
Ja	ja
alles	alles
^	
von	von
neu	neu
beginnnen	beginnen
.	.
Wieso	Wieso
?	?
