belt	bellt	91
kukt	kuckt	73
dan	dann	621
gekricht	gekriegt	2
leken	lecken	14
felt	fällt	90
wolte	wollte	173
lekt	leckt	19
fom	vom	13
gawen	kaufen	1
din	ein	1
Keld	Geld	1
man	Mann	79
gien	gehen	1
nahaise	nachhause	1
esen	essen	12
aba	aber	21
gieben	geben	1
wollt	wollte	2
feid	fällt	1
gen	gehen	31
wil	will	95
gipt	gibt	18
ter	der	1
ap	ab	26
ale	alle	33
frölich	fröhlich	51
siend	sind	16
weitagegangen	weitergegangen	1
natürlig	natürlich	1
üder	über	8
ier	ihr	6
runder	runter	18
harden	haben	2
schneel	schnell	1
haten	hatten	53
arder	aber	3
gugel	Kugel	1
hate	hatte	400
geld	gelb	1
eisferkeufer	Eisverkäufer	1
in	ihn	260
Dan	Dann	185
ir	ihr	27
fenkt	fängt	1
get	geht	56
Stolpat	stolpert	2
üba	über	7
fellt	fällt	9
hinn	hin	2
ide	Idee	12
giebt	gibt	15
glüklieg	glücklich	1
bekomen	bekommen	18
kabut	kaputt	4
hingefalen	hingefallen	5
rhr	ihr	1
Teielt	teilt	1
möschde	möchte	1
past	passt	2
veil	weil	4
möschte	möchte	2
on	und	2
runtergefalen	runtergefallen	12
ern	er	2
fählt	fällt	5
vegen	wegen	1
glüglich	glücklich	18
veint	weint	1
hie	hier	1
krikt	kriegt	8
bischen	bisschen	20
au	auf	1
schlekt	schleckt	1
ales	alles	34
TroPfschen	Tröpfchen	1
gestolPat	gestolpert	1
wegetan	wehgetan	11
Glöklesch	glücklich	1
rich	riech	2
Spatzirn	spazieren	1
falt	fallt	9
Giebt	gibt	1
eien	eine	1
Nachause	nachhause	1
Lekt	leckt	4
siech	sich	24
gehmergt	gemerkt	1
das	dass	981
gehttropft	getropft	1
gefalen	gefallen	50
ristig	richtig	1
glüglist	glücklich	1
is	iss	1
schnel	schnell	60
Hinther	hinterher	1
sint	sind	20
i	in	1
eiswargen	Eiswagen	1
si	sie	46
ei	ein	4
unt	und	30
sih	sie	8
schtoiper	stolper	1
Fersucht	versucht	1
lerken	lecken	1
gept	gebt	1
Fos	was	1
aP	ab	1
fer	wenn	1
nisct	nicht	1
gechareln	gestorben	1
Hete	heute	1
gescholpat	gestolpert	1
traurisch	traurig	8
Glicklich	glücklich	1
spazirn	spazieren	1
kamm	kam	100
lekte	leckte	9
Plözlich	Plötzlich	45
viel	fiel	26
hien	hin	3
Pölzlich	Plötzlich	2
weite	weiter	3
Eisstant	Eisstand	2
gehet	geht	6
schildst	schmilzt	1
frist	frisst	30
abat	aber	1
Aba	Aber	12
wider	wieder	178
holn	holen	2
pasirt	passiert	18
steuperte	stolperte	1
werlirt	verliert	1
Schnapen	schnappen	1
net	nett	1
pag	Park	1
fengt	fängt	12
stolpat	stolpert	9
taeilt	teilt	1
nimt	nimmt	44
Vanile	Vanille	1
Erdbere	Erdbeere	2
Valtmeister	Waldmeister	1
sackt	sagt	6
pas	pass	8
tud	tut	1
helfte	Hälfte	2
van	von	4
reinn	rein	1
sinnd	sind	1
Vun	Und	1
jerz	jetzt	1
gehin	gehen	1
eina	einer	4
fälen	fallen	1
schin	schön	2
runt	runter	2
schdolpak	stolpert	1
irh	ihr	2
ist	isst	54
isst	ist	5
ser	sehr	44
taurisch	traurig	1
fürlich	fröhlich	1
tild	teilt	1
gehn	gehen	20
Glüklich	glücklich	7
spatzieren	spazieren	19
glüklich	glücklich	54
gekrigt	gekriegt	6
ban	dann	3
kaput	kaputt	88
ausgeruscht	ausgerutscht	1
runba	runter	1
gegan	gegangen	6
runda	runter	4
gessen	gegessen	1
fon	von	61
bisjen	bisschen	3
jeda	jeder	4
weit	weint	1
glülisch	glücklich	2
wal	weil	22
ruter	runter	4
teiel	teil	1
sit	ist	2
Hart	hat	1
EisStant	Eisstand	2
getroft	getropft	1
fersucht	versucht	29
Had	hat	1
gegesch	gegessen	1
aufsten	Aufstehen	1
sig	sie	1
wiel	will	47
unden	unten	2
Schlekt	schleckt	1
steupert	stolpert	1
geteit	geteilt	1
sient	sind	3
glüklisch	glücklich	1
üüber	über	1
fräut	freut	1
eIu	Eis	1
ruhr	Ruhe	1
ach	auch	1
hingfallen	hingefallen	1
samelt	sammelt	1
irem	ihrem	11
feld	fällt	11
töst	tröstet	1
ine	eine	1
eiskuge	Eiskugel	1
u	und	2
eisman	Eismann	4
schläkte	schleckte	1
stolpate	stolperte	3
we	weh	4
zusamen	zusammen	36
cemast	zermatscht	1
kletert	klettert	7
troft	tropft	5
merck	merkt	1
geschtolpert	gestolpert	3
kaft	kläfft	1
jest	jetzt	7
gemerckt	gemerkt	4
trofen	Tropfen	8
Eisferkäufer	Eisverkäufer	1
daf	darf	1
den	denn	117
Eerber	Erdbeer	1
Wanile	Vanille	1
krik	krieg	1
nikch	nichts	1
sis	sies	1
vegt	fängt	1
Sagtt	sagt	1
dier	dir	18
Stet	steht	1
Dage	Danke	1
Gehn	Gehen	1
haden	haben	6
talt	teilt	1
freulich	fröhlich	3
kolen	holen	1
schleker	schlecken	1
venkt	fängt	1
eimal	einmal	29
hörnschen	Hörnchen	1
vrot	freut	1
gestolper	gestolpert	1
trostet	tröstet	2
ste	steh	1
betagt	bedankt	1
paKh	Park	1
vars	wars	1
Trupf	tropf	1
Schupfs	schups	1
Fellt	fällt	1
runta	runter	19
traurich	traurig	54
fann	dann	1
runterfale	runterfallen	1
lasen	lassen	7
fru	froh	1
belld	bellt	1
schlukt	schluckt	1
plözlisch	plötzlich	1
stolbert	stolpert	2
rend	rennt	42
loss	los	6
hingfalen	hingefallen	2
weind	weint	45
gibd	gibt	1
wolten	wollten	14
Eeis	Eis	12
krekte	kriegte	1
for	vor	48
füse	Füße	2
warn	waren	20
eiss	Eis	1
Körten	könnten	1
tröpfschen	Tröpfchen	1
gegesen	gegessen	15
abgelekt	abgeleckt	2
mer	mehr	68
trauig	traurig	4
allle	alle	1
Eisdile	Eisdiele	2
schpasiren	spazieren	1
fält	fällt	31
siene	seine	1
gugt	guckt	22
legt	leckt	12
Bonden	Boden	1
bestelen	bestellen	1
abkrikt	abkriegt	1
jezt	jetzt	14
feil	weil	8
bisien	bisschen	5
bekomt	bekommt	10
dichr	dir	1
imer	immer	45
rumtergefalen	runtergefallen	1
haz	hats	1
ekltra	extra	1
frolich	fröhlich	3
hte	hatte	1
dar	da	51
ede	Idee	3
gluklich	glücklich	6
natulich	natürlich	2
glucklich	glücklich	12
