|original|corrected|filename|freq_ori|freq_cor|freq_tup|unchanged_original|suggestions
0|belt|bellt|01-005-2-III-Eis.csv|91|138|91|belt|['lebt', 'bellt', 'bebt', 'Welt', 'Zelt', 'bettelt', 'Betel']
1|kukt|kuckt|01-005-2-III-Eis.csv|73|152|73|kukt|['kurt', 'bukt', 'Kult']
2|dan|dann|01-005-2-III-Eis.csv|627|651|621|dan|['an', 'da', 'dann', 'dran', 'dank', 'den', 'das', 'ran', 'dar', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'd an', 'da n']
3|gekricht|gekriegt|01-005-2-III-Eis.csv|2|15|2|gekricht|['gekracht', 'gekreischt', 'Gericht', 'gerichtet', 'gerichtlich']
4|leken|lecken|01-005-2-III-Eis.csv|14|17|14|leken|['lenken', 'lecken', 'ekeln', 'lenke', 'lesen', 'legen', 'leben', 'Lenken', 'Lecken', 'keilen']
5|felt|fällt|01-005-2-III-Eis.csv|93|198|90|felt|['fehlt', 'fielt', 'feilt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']
6|wolte|wollte|01-005-2-III-Eis.csv|173|201|173|wolte|['wollte', 'walte', 'wolle', 'holte']
7|lekt|leckt|01-005-2-III-Eis.csv|20|42|19|lekt|['lenkt', 'leckt', 'lest', 'legt', 'lebt', 'Sekt', 'Lektor']
8|fom|vom|01-005-2-III-Eis.csv|13|16|13|fom|['vom', 'Rom', 'Tom', 'Dom', 'Form']
9|gawen|kaufen|01-006-2-III-Eis.csv|1|6|1|gawen|['wagen', 'garen', 'gaben', 'Gazen']
10|din|ein|01-006-2-III-Eis.csv|2|26|1|din|['DIN', 'in', 'dein', 'drin', 'ein', 'den', 'die', 'dir', 'hin', 'bin', 'div', 'Pin', 'd in']
11|Keld|Geld|01-006-2-III-Eis.csv|1|5|1|Keld|['Geld', 'Held', 'Feld', 'Kelle']
12|man|Mann|01-006-2-III-Eis.csv|79|132|79|man|
13|gien|gehen|01-006-2-III-Eis.csv|1|78|1|gien|['gen', 'gier', 'Wien', 'gießen', 'Gießen']
14|nahaise|nachhause|01-006-2-III-Eis.csv|1|10|1|nahaise|['Nachweise']
15|esen|essen|01-006-2-III-Eis.csv|22|14|12|esen|['essen', 'lesen', 'Lesen', 'Besen', 'Wesen', 'eben', 'äsen', 'Ösen']
16|aba|aber|01-006-2-III-Eis.csv|21|60|21|aba|['ab', 'ab a']
17|gieben|geben|01-006-2-III-Eis.csv|1|3|1|gieben|['biegen', 'geben', 'sieben', 'rieben', 'gieren', 'lieben', 'gießen', 'Sieben', 'Lieben', 'Dieben', 'Hieben', 'Giebeln', 'Belgien']
18|wollt|wollte|01-006-2-III-Eis.csv|2|201|2|wollt|
19|feid|fällt|01-006-2-III-Eis.csv|1|198|1|feid|['feind', 'seid', 'fein', 'feil', 'feig', 'Neid', 'Leid', '-eid', 'Feind']
20|gen|gehen|01-012-2-III-Eis.csv|31|78|31|gen|
21|wil|will|01-012-2-III-Eis.csv|95|157|95|wil|['weil', 'will', 'wild', 'wie', 'wir', 'Nil', 'Willi']
22|gipt|gibt|01-012-2-III-Eis.csv|18|42|18|gipt|['gilt', 'gibt', 'Gips']
23|ter|der|01-012-2-III-Eis.csv|1|9|1|ter|['der', 'er', 'per', 'her', 'wer', 't er']
24|ap|ab|01-012-2-III-Eis.csv|26|30|26|ap|['p', 'a', 'Kap', 'an', 'ad', 'au', 'am', 'ab', 'kp', 'aß', 'a p', 'API']
25|ale|alle|01-012-2-III-Eis.csv|34|39|33|ale|['aale', 'alte', 'alle', 'adle', 'male', 'Aale', 'Wale', 'als', 'alt', 'all', 'ade', 'öle', 'Öle', 'Allee']
26|frölich|fröhlich|01-012-2-III-Eis.csv|51|92|51|frölich|['fröhlich', 'freilich']
27|siend|sind|01-025-2-III-Eis.csv|16|66|16|siend|['sind', 'seiend', 'säend']
28|weitagegangen|weitergegangen|01-025-2-III-Eis.csv|1|1|1|weitagegangen|['entzweigegangen', 'weggegangenen', 'weggegangen', 'eingegangenen']
29|natürlig|natürlich|01-025-2-III-Eis.csv|1|19|1|natürlig|['natürlich']
30|üder|über|01-025-2-III-Eis.csv|8|35|8|üder|['der', 'müder', 'oder', 'über', 'öder', 'Eder', 'Ader', 'ü der', 'ermüde']
31|ier|ihr|01-025-2-III-Eis.csv|7|40|6|ier|['er', 'gier', 'hier', 'vier', 'zier', 'Eier', 'Tier', 'Gier', 'Bier', 'Zier', 'irr', 'der', 'per', 'her', 'ihr', 'wer', 'i er']
32|runder|runter|01-025-2-III-Eis.csv|18|60|18|runder|
33|harden|haben|01-025-2-III-Eis.csv|2|19|2|harden|['harten', 'hadern', 'harren', 'harken', 'Garden', 'Barden']
34|schneel|schnell|01-025-2-III-Eis.csv|1|76|1|schneel|['scheel', 'schnell', 'schnee-', 'Schnee', 'Schnösel']
35|haten|hatten|01-025-2-III-Eis.csv|53|55|53|haten|['hasten', 'harten', 'hatten', 'halten', 'chaten', 'hauten', 'haften', 'hakten', 'raten', 'taten', 'hauen', 'baten', 'haben', 'haken', 'waten', 'hüten', 'Raten', 'Taten', 'Daten', 'Paten', 'chateten', 'Halten', 'hatte']
36|arder|aber|01-025-2-III-Eis.csv|3|60|3|arder|['arider', 'Marder', 'arger', 'armer', 'Order', 'Erhard', 'erde', 'Erde']
37|gugel|Kugel|01-025-2-III-Eis.csv|1|3|1|gugel|['Kugel', 'Gurgel']
38|hate|hatte|01-025-2-III-Eis.csv|400|427|400|hate|['hat', 'haste', 'harte', 'hatte', 'halte', 'chate', 'haute', 'hafte', 'hakte', 'rate', 'haue', 'habe', 'hake', 'wate', 'hüte', 'Rate', 'Pate', 'hat e']
39|geld|gelb|01-025-2-III-Eis.csv|1|1|1|geld|['Geld', '-geld', 'geld-', 'gelb', 'Held', 'Feld']
40|eisferkeufer|Eisverkäufer|01-026-2-III-Eis.csv|1|4|1|eisferkeufer|['Eisenklopfer']
41|in|ihn|01-026-2-III-Eis.csv|261|270|260|in|
42|Dan|Dann|01-026-2-III-Eis.csv|188|197|185|Dan|['An', 'Dank', 'Ran', 'Don', 'Man', 'Van', 'San', 'Jan', 'Pan', 'Fan', 'Da', 'Dann', 'Dran', 'Den', 'Das', 'Dar', 'D an', 'Da n']
43|ir|ihr|01-026-2-III-Eis.csv|27|40|27|ir|['r', 'i', 'irr', 'dir', 'mir', 'ihr', 'wir', 'Sir', 'Kir', 'er', 'in', 'im', 'Ar', 'Mr', 'Fr', 'i r', 'IRC']
44|fenkt|fängt|01-026-2-III-Eis.csv|1|29|1|fenkt|['senkt', 'lenkt', 'denkt', 'funkt']
45|get|geht|01-026-2-III-Eis.csv|56|85|56|get|['geht', 'et', 'gebt', 'gen', 'gut', 'geh', 'Set', 'Jet', 'g et']
46|Stolpat|stolpert|01-026-2-III-Eis.csv|2|27|2|Stolpat|['Tolpatsch']
47|üba|über|01-026-2-III-Eis.csv|7|35|7|üba|['übe', 'übt']
48|fellt|fällt|01-026-2-III-Eis.csv|9|198|9|fellt|['feilt', 'fallt', 'gellt', 'pellt', 'hellt', 'fehlt', 'bellt', 'wellt', 'fällt', 'füllt', 'fell-', 'Fell', 'täfelt', 'tafelt']
49|hinn|hin|01-026-2-III-Eis.csv|2|17|2|hinn|['hin', 'hinan', 'hing', 'Sinn', 'Kinn', 'Zinn', 'hin n']
50|ide|Idee|01-026-2-III-Eis.csv|12|34|12|ide|['IDE', 'die', 'de', 'Eide', 'ade', 'öde', 'Ode', 'Ude', 'Bde', 'i de']
51|giebt|gibt|01-026-2-III-Eis.csv|16|42|15|giebt|['gibt', 'biegt', 'gebt', 'siebt', 'riebt', 'giert', 'liebt', 'gießt']
52|glüklieg|glücklich|01-026-2-III-Eis.csv|1|163|1|glüklieg|['glückselig']
53|bekomen|bekommen|01-028-2-III-Eis.csv|19|31|18|bekomen|['bekommen', 'bekamen', 'bekämen', 'bekomme', 'beklommen', 'benommen', 'kommen']
54|kabut|kaputt|01-028-2-III-Eis.csv|4|126|4|kabut|['kaut', 'Kabul']
55|hingefalen|hingefallen|01-028-2-III-Eis.csv|5|11|5|hingefalen|['hingefallen', 'hineingefallen', 'eingefallen', 'hingehalten', 'hineinfallen']
56|rhr|ihr|01-028-2-III-Eis.csv|1|40|1|rhr|['ihr', 'rar', 'Ohr', 'Uhr', 'Rohr']
57|Teielt|teilt|01-028-2-III-Eis.csv|1|6|1|Teielt|['Teilt', 'Teilte']
58|möschde|möchte|01-029-2-III-Eis.csv|1|14|1|möschde|['löschende']
59|past|passt|01-029-2-III-Eis.csv|2|3|2|past|['passt', 'paust', 'rast', 'last', 'hast', 'fast', 'Rast', 'Last', 'Gast', 'Mast', 'Bast', '-ast']
60|veil|weil|01-029-2-III-Eis.csv|4|82|4|veil|['viel', 'seil', 'teil', 'geil', 'heil', 'feil', 'weil', 'Seil', 'Teil', 'Beil', 'Keil']
61|möschte|möchte|01-029-2-III-Eis.csv|2|14|2|möschte|['möchte', 'mischte', 'löschte']
62|on|und|01-029-2-III-Eis.csv|2|106|2|on|['n', 'o', 'von', 'Ion', 'Ton', 'Don', 'Bon', 'Xon', 'Äon', 'in', 'an', 'oh', 'ob', 'o n']
63|runtergefalen|runtergefallen|01-029-2-III-Eis.csv|12|28|12|runtergefalen|['heruntergefallen', 'heruntergefahren', 'herunterfallen', 'heruntergeladen']
64|ern|er|01-029-2-III-Eis.csv|2|14|2|ern|['er', 'gern', 'fern', 'Bern', 'Kern', 'ein', 'er n', 'Ernte']
65|fählt|fällt|01-029-2-III-Eis.csv|5|198|5|fählt|['pfählt', 'fehlt', 'fährt', 'fällt', 'wählt', 'zählt', 'fühlt']
66|vegen|wegen|01-029-2-III-Eis.csv|1|5|1|vegen|['vagen', 'regen', 'legen', 'gegen', 'hegen', 'fegen', 'wegen', 'Segen', 'Regen', 'Legen', 'Degen', 'Wegen', 'verenge']
67|glüglich|glücklich|01-029-2-III-Eis.csv|18|163|18|glüglich|['glücklich', 'füglich', 'glich']
68|veint|weint|01-029-2-III-Eis.csv|1|67|1|veint|['eint', 'meint', 'weint', 'Teint', 'v eint']
69|hie|hier|01-029-2-III-Eis.csv|1|55|1|hie|
70|krikt|kriegt|01-037-2-III-Eis.csv|8|51|8|krikt|['Kritik']
71|bischen|bisschen|01-037-2-III-Eis.csv|20|57|20|bischen|['bisschen', 'mischen', 'fischen', 'wischen', 'zischen', 'Nischen', 'Tischen', 'Mischen', 'Fischen']
72|au|auf|01-037-2-III-Eis.csv|6|17|1|au|
73|schlekt|schleckt|01-037-2-III-Eis.csv|2|4|1|schlekt|['schlecht', 'schleckt']
74|ales|alles|01-037-2-III-Eis.csv|35|37|34|ales|['als', 'altes', 'alles', 'Aales', 'Tales', 'Wales', 'legales']
75|TroPfschen|Tröpfchen|01-045-2-III-Eis.csv|1|2|1|TroPfschen|['Tropischen', 'Tropfsteinen']
76|gestolPat|gestolpert|01-045-2-III-Eis.csv|1|14|1|gestolPat|['gestolpert']
77|wegetan|wehgetan|01-045-2-III-Eis.csv|11|17|11|wegetan|['weggetan', 'angetan', 'getan']
78|Glöklesch|glücklich|01-045-2-III-Eis.csv|1|163|1|Glöklesch|['Geschmäckle']
79|rich|riech|01-045-2-III-Eis.csv|2|2|2|rich|['ich', 'reich', 'brich', 'Erich', 'eich', 'sich', 'roch', 'dich', 'mich', 'wich', 'r ich']
80|Spatzirn|spazieren|01-049-2-III-Eis.csv|1|116|1|Spatzirn|['Patriziern']
81|falt|fallt|01-049-2-III-Eis.csv|9|11|9|falt|['alt', 'falte', 'fallt', 'fault', 'falzt', 'falt-', 'fast', 'aalt', 'galt', 'malt', 'halt', 'falb', 'kalt', 'faxt', 'Halt', 'f alt', 'fatal']
82|Giebt|gibt|01-049-2-III-Eis.csv|1|42|1|Giebt|['Siebt', 'Riebt', 'Liebt', 'Gibt', 'Biegt', 'Gebt', 'Giert', 'Gießt']
83|eien|eine|01-049-2-III-Eis.csv|2|9|1|eien|['ein', 'eine', 'seien', 'einen', 'eilen', 'eigen', 'eben', 'Wien']
84|Nachause|nachhause|01-049-2-III-Eis.csv|1|10|1|Nachause|['Nachschaue', 'Nachschau', 'Nachwachse']
85|Lekt|leckt|01-049-2-III-Eis.csv|4|42|4|Lekt|['Sekt', 'Lenkt', 'Leckt', 'Lest', 'Legt', 'Lebt', 'Lektor']
86|siech|sich|01-054-2-III-Eis.csv|24|55|24|siech|
87|gehmergt|gemerkt|01-054-2-III-Eis.csv|1|10|1|gehmergt|['geschmerzt']
88|das|dass|01-054-2-III-Eis.csv|985|1017|981|das|
89|gehttropft|getropft|01-054-2-III-Eis.csv|1|2|1|gehttropft|['geht tropft', 'geht-tropft', 'getropft']
90|gefalen|gefallen|01-054-2-III-Eis.csv|50|69|50|gefalen|['gefallen', 'Gefallen', 'gefalzten', 'gefalle', 'gefangen']
91|ristig|richtig|01-054-2-III-Eis.csv|1|9|1|ristig|['rissig', 'rostig', 'listig', 'mistig', 'rüstig', 'strittig']
92|glüglist|glücklich|01-054-2-III-Eis.csv|1|163|1|glüglist|['Arglist']
93|is|iss|01-054-2-III-Eis.csv|19|2|1|is|['iss', 's', 'i', 'ins', 'ist', 'bis', 'Eis', 'es', 'in', 'ms', 'im', 'i s']
94|schnel|schnell|01-054-2-III-Eis.csv|60|76|60|schnel|['schnell', 'scheel', 'Schnösel', 'Schnee', 'Schnäbel', 'Schnabel']
95|Hinther|hinterher|01-054-2-III-Eis.csv|1|38|1|Hinther|['Hinter']
96|sint|sind|01-057-2-III-Eis.csv|20|66|20|sint|['sind', 'sinnt', 'singt', 'sinkt', 'eint', 'sing']
97|i|in|01-057-2-III-Eis.csv|2|21|1|i|
98|eiswargen|Eiswagen|01-057-2-III-Eis.csv|1|3|1|eiswargen|['Eiswargen', '-eiswargen', 'Weissagen']
99|si|sie|01-057-2-III-Eis.csv|51|86|46|si|['sie', 'i', 's', 'sei', 'so', 'pi', 'xi', 'Ei', 'Hi', 's i']
100|ei|ein|01-057-2-III-Eis.csv|5|26|4|ei|['Ei', 'i', 'e', 'sei', 'ein', 'bei', '-ei', 'es', 'er', 'et', 'eo', 'pi', 'eh', 'xi', 'ex', 'Hi', 'e i']
101|unt|und|01-057-2-III-Eis.csv|30|106|30|unt|['und', 'bunt', 'unkt', 'tun', 'uns']
102|sih|sie|01-057-2-III-Eis.csv|11|86|8|sih|['sieh', 'sich', 'sie', 'sah']
103|schtoiper|stolper|01-057-2-III-Eis.csv|1|1|1|schtoiper|['scheintoter']
104|Fersucht|versucht|01-057-2-III-Eis.csv|1|43|1|Fersucht|['Ersucht', 'Fernsucht', 'Versucht', 'Ufersucht', 'F ersucht', 'Feucht']
105|lerken|lecken|01-057-2-III-Eis.csv|1|17|1|lerken|['lenken', 'lernen', 'lecken', 'merken', 'werken', 'Werken', 'Lenker', 'Erkennen', 'erkennen', 'Erkenner']
106|gept|gebt|01-057-2-III-Eis.csv|1|3|1|gept|['geht', 'gebt', 'gepumpt']
107|Fos|was|01-057-2-III-Eis.csv|1|15|1|Fos|['Los', 'Fotos']
108|aP|ab|01-057-2-III-Eis.csv|1|30|1|aP|['a P', 'a', 'an', 'ad', 'au', 'am', 'ab', 'aß', 'IP', 'HP', 'BP', 'KP', 'XP', 'p', 'Kap', 'kp', 'API']
109|fer|wenn|01-057-2-III-Eis.csv|1|46|1|fer|['er', 'fern', 'Ufer', 'der', 'per', 'her', 'wer', 'für', 'f er']
110|nisct|nicht|01-057-2-III-Eis.csv|1|135|1|nisct|['Nische']
111|gechareln|gestorben|01-057-2-III-Eis.csv|1|9|1|gechareln|['gechartert']
112|Hete|heute|01-057-2-III-Eis.csv|1|1|1|Hete|['Hefte', 'Bete', 'Hefe', 'Hexe', 'Hüte', 'Heute', 'Hegte', 'Hexte', 'Hetze', 'Hege', 'Hebe', 'Hetzte']
113|gescholpat|gestolpert|01-058-2-III-Eis.csv|1|14|1|gescholpat|['gescholten']
114|traurisch|traurig|01-058-2-III-Eis.csv|8|119|8|traurisch|['traumatisch', 'australisch', 'taufrisch', 'misstrauisch']
115|Glicklich|glücklich|01-058-2-III-Eis.csv|1|163|1|Glicklich|['Glücklich', 'Schicklich', 'Kläglich', 'Kärglich', 'Glich']
116|spazirn|spazieren|01-060-2-III-Eis.csv|1|116|1|spazirn|['spazieren']
117|kamm|kam|01-060-2-III-Eis.csv|100|129|100|kamm|['Kamm', 'kam', 'klamm', '-kamm', 'kamt', 'komm', 'kaum', 'Lamm', 'Damm', 'kam m']
118|lekte|leckte|01-060-2-III-Eis.csv|9|14|9|lekte|['lenkte', 'leckte', 'leite', 'legte', 'lebte', 'Sekte', 'Kollekte']
119|Plözlich|Plötzlich|01-060-2-III-Eis.csv|47|117|45|Plözlich|['Plötzlich']
120|viel|fiel|01-060-2-III-Eis.csv|28|45|26|viel|
121|hien|hin|01-060-2-III-Eis.csv|3|17|3|hien|['hin', 'hie', 'hier', 'hiev', 'hieß', 'Wien', 'hie n']
122|Pölzlich|Plötzlich|01-060-2-III-Eis.csv|2|117|2|Pölzlich|['Plötzlich']
123|weite|weiter|01-060-2-III-Eis.csv|10|17|3|weite|
124|Eisstant|Eisstand|01-061-2-III-Eis.csv|2|8|2|Eisstant|['Eisstand', 'Eisstaat', 'Eisstart', 'Eisstadt', 'Eisstunt', 'Eisspant']
125|gehet|geht|01-061-2-III-Eis.csv|6|85|6|gehet|['geht', 'gehe', 'gehegt', 'gehst', 'gehen', 'geh et', 'geh-et', 'gehe t', 'Gehege', 'gehütet']
126|schildst|schmilzt|01-061-2-III-Eis.csv|1|3|1|schildst|['schiltst', 'schiedst']
127|frist|frisst|01-061-2-III-Eis.csv|30|38|30|frist|['frisst', 'Frist', 'freist', 'friste', '-frist', 'friss', 'trist', 'fräst']
128|abat|aber|01-061-2-III-Eis.csv|1|60|1|abat|['bat', 'abtat', 'abbat', 'Rabat', 'a bat']
129|Aba|Aber|01-061-2-III-Eis.csv|12|19|12|Aba|['Alba', 'Abi', 'Abt', 'Abo', 'Ada', 'Ab', 'Ab a']
130|wider|wieder|01-061-2-III-Eis.csv|178|207|178|wider|
131|holn|holen|01-063-2-III-Eis.csv|2|11|2|holn|['hol', 'holen', 'hole', 'holt', 'hold', 'hol n']
132|pasirt|passiert|01-063-2-III-Eis.csv|18|75|18|pasirt|['passiert']
133|steuperte|stolperte|01-063-2-III-Eis.csv|1|7|1|steuperte|['steuerte', 'versteuert', 'gesteuert', 'besteuert', 'steuere']
134|werlirt|verliert|01-063-2-III-Eis.csv|1|5|1|werlirt|['verliert']
135|Schnapen|schnappen|01-063-2-III-Eis.csv|1|4|1|Schnapen|['Schnaken', 'Schnappen', 'Schnappe', 'Schnaps', 'Schnarchen', 'Schlappen']
136|net|nett|01-063-2-III-Eis.csv|1|1|1|net|['et', 'niet', 'nett', 'neu', 'Set', 'Jet', 'n et']
137|pag|Park|01-064-2-III-Eis.csv|1|15|1|pag|['sag', 'lag', 'mag', 'vag', 'Tag', 'Gag', 'Page']
138|fengt|fängt|01-064-2-III-Eis.csv|12|29|12|fengt|['engt', 'fegt', 'sengt', 'fingt', 'fangt', 'mengt', 'fängt', 'f engt']
139|stolpat|stolpert|01-064-2-III-Eis.csv|9|27|9|stolpat|['Tolpatsch']
140|taeilt|teilt|01-064-2-III-Eis.csv|1|6|1|taeilt|['teilt']
141|nimt|nimmt|01-065-2-III-Eis.csv|45|56|44|nimt|['nimmt', 'niet', 'nimm', 'Zimt']
142|Vanile|Vanille|01-065-2-III-Eis.csv|1|4|1|Vanile|['Vanille', 'Vandale']
143|Erdbere|Erdbeere|01-065-2-III-Eis.csv|2|5|2|Erdbere|['Erdrebe', 'Erdbeere', 'Erdbiere', 'Erdberge', 'Erberde', 'Erderbe', 'Erdeber', 'Erdbern', 'Erdberg', 'Erobere', 'Eroberer', 'Beredtere', 'Berede']
144|Valtmeister|Waldmeister|01-065-2-III-Eis.csv|1|1|1|Valtmeister|['Faltmeister', 'Kaltmeister', 'Allermeister', 'Malermeister', 'Stallmeister', 'Allermeist']
145|sackt|sagt|01-065-2-III-Eis.csv|6|52|6|sackt|
146|pas|pass|01-065-2-III-Eis.csv|8|10|8|pas|['Opas', 'las', 'das', 'was', 'Aas', 'Gas', 'Papas', 'Pass']
147|tud|tut|01-065-2-III-Eis.csv|1|6|1|tud|['tut', 'tu', 'tue', 'tun', 'lud', 'Sud', 'tu d']
148|helfte|Hälfte|01-065-2-III-Eis.csv|2|3|2|helfte|['elfte', 'hefte', 'helfe', 'helft', 'hellte', 'h elfte', 'helft e', 'Hefte']
149|van|von|01-065-2-III-Eis.csv|4|76|4|van|
150|reinn|rein|01-065-2-III-Eis.csv|1|8|1|reinn|['rein', 'reinen', 'rinne', 'reine', 'rein n', 'Innerei', 'Innere']
151|sinnd|sind|01-065-2-III-Eis.csv|1|66|1|sinnd|['sinnt', 'sind', 'sinne']
152|Vun|Und|01-073-2-III-Eis.csv|1|11|1|Vun|['Nun', 'Tun', 'Sun', 'Run', 'Van', 'Von']
153|jerz|jetzt|01-073-2-III-Eis.csv|1|75|1|jerz|['Nerz', 'Terz', 'Merz', 'Herz', '-erz', 'jeher']
154|gehin|gehen|01-073-2-III-Eis.csv|1|78|1|gehin|['gehen', 'geh in', 'geh-in', 'gehinkt', 'hingehe', 'hinlege', 'eingehe']
155|eina|einer|01-073-2-III-Eis.csv|4|9|4|eina|['ein', 'eine', 'eins', 'eint', 'Nina', 'Tina', 'Gina', 'ein-', 'ein a']
156|fälen|fallen|01-073-2-III-Eis.csv|1|25|1|fälen|['fällen', 'Sälen', 'Fällen', 'fälle']
157|schin|schön|01-073-2-III-Eis.csv|2|5|2|schin|['schien', 'schon', 'schön']
158|runt|runter|01-073-2-III-Eis.csv|2|60|2|runt|['rund', 'raunt', 'ruht', 'bunt', 'ruft']
159|schdolpak|stolpert|01-073-2-III-Eis.csv|1|27|1|schdolpak|['Tolpatsch']
160|irh|ihr|01-073-2-III-Eis.csv|2|40|2|irh|['ihr', 'irr', 'ich']
161|ist|isst|01-073-2-III-Eis.csv|55|57|54|ist|
162|isst|ist|01-073-2-III-Eis.csv|5|33|5|isst|
163|ser|sehr|01-073-2-III-Eis.csv|44|67|44|ser|['sehr', 'er', 'User', 'sei', 'der', 'per', 'her', 'wer', 's er']
164|taurisch|traurig|01-073-2-III-Eis.csv|1|119|1|taurisch|['taufrisch', 'Tausch']
165|fürlich|fröhlich|01-073-2-III-Eis.csv|1|92|1|fürlich|['füglich', 'figürlich', 'fürstlich']
166|tild|teilt|01-073-2-III-Eis.csv|1|6|1|tild|['mild', 'wild', 'Bild', 'Wild', 'Tilde']
167|gehn|gehen|01-073-2-III-Eis.csv|20|78|20|gehn|['gen', 'geh', 'gehen', 'gehe', 'gern', 'geht', 'zehn', 'geh n']
168|Glüklich|glücklich|01-073-2-III-Eis.csv|7|163|7|Glüklich|['Glücklich', 'Kläglich']
