Dodo	Dodo
ist	ist
weg	weg
\h	\h
Lea	Lea
ist	ist
verzweifelt	verzweifelt
sie	sie
kann	kann
Dodo	Dodo
^	
ihren	ihren
Hund	Hund
nicht	nicht
finden	finden
.	.
Nun	Nun
hängt	hängt
^	
sie	sie
schon	schon
Plakate	Plakate
von	von
Dodo	Dodo
duf	auf
^	
dabei	dabei
kommt	kommt
schon	schon
die	die
erste	erste
^	
Träne	Träne
.	.
Nun	Nun
ging	ging
sie	sie
in	in
ihr	ihr
Zimmer	Zimmer
^	
und	und
wartet	wartet
dass	dass
jemand	jemand
Anruft	anruft
der	der
^	
Dodo	Dodo
gefunden	gefunden
hat	hat
nun	nun
kommt	kommt
noch	noch
^	
eine	eine
Träne	Träne
und	und
Lea	Lea
ist	ist
immer|	immer
noch	noch
^	
verzweifelt	verzweifelt
.	.
Doch	Doch
jetzt	jetzt
ruft	ruft
Lars	Lars
^	
mit	mit
Dodo	Dodo
an	an
!	!
Lars	Lars
sagt	sagt
"	"
Ich	Ich
habe	habe
^	
Dodo	Dodo
gefunden	gefunden
ich	ich
komme	komme
mit	mit
Dodo	Dodo
^	
zu	zu
dir	dir
.	.
"	"
.	.
Schlislich	Schließlich
ist	ist
Lea	Lea
Gluck-lich	glücklich
.	.
Tatsechlich	Tatsächlich
hat	hat
Lars	Lars
Dodo	Dodo
gefunden	gefunden
.	.
Nach	Nach
15	15
min	min
.	.
ist	ist
Lars	Lars
^	
mit	mit
Dodo	Dodo
angekomen	angekommen
.	.
Lars	Lars
klingel	klingel
,	,
^	
Dodo	Dodo
bellt	bellt
und	und
Lea	Lea
ist	ist
Glücklich	glücklich
.	.
^	
Lars	Lars
gibt	gibt
Lea	Lea
einen	einen
Loli	Lolli
und	und
alle	alle
^	
freuen	freuen
sich	sich
