Wer_Libd	Verliebt
in_einander	ineinander
.	.
\h	\h
Ler	Lea
war	war
mit	mit
dodo	Dodo
in	in
den	den
Park	Park
und	und
^	
Dodo	Dodo
ist	ist
zu	zu
las	Lars
gegane	gegangen
Ler	Lea
.	.
wust	~wusst
nichts	nichts
^	
da_wohon	davon
!	!
Ler	Lea
geht	geht
nach	nach
Hause	Hause
^	
telerenit	telefoniert
!	!
Were	Wer
mein	mein
Hund	Hund
gewunden	gefunden
^	
Hat	hat
.	.
Jemah_d	Jemand
ruf_d	ruft
an	an
:	:
Horben	Haben
^	
sein	sein
Hund	Hund
velore	verloren
Ja	ja
Ja	ja
.	.
sagt	sagt
Lea	Lea
?	?
:	:
^	
ich	Ich
komme	komme
zu	zu
ihnen	Ihnen
.	.
nach	nach
Haus	Haus
!	!
^	
Lea	Lea
Lest	lässt
den	den
Stift	Stift
Los	los
?	?
Lea	Lea
sagt	sagt
^	
JppJ	Jippie
JppJ	Jippie
.	.
Lea	Lea
kokt	kuckt
!	!
aus	aus
!	!
dem	dem
^	
fenster	Fenster
das	das
ist	ist
los	los
.	.
Las	Lars
komm	komm
rein	rein
^	
und	und
dodo	Dodo
Bellt	bellt
ich	ich
dannke	danke
dir	dir
^	
das	dass
du	du
mein_en	meinen
Hund	Hund
gewunden	gefunden
^	
Has	hast
ko|	kuck
ma	mal
dodo	Dodo
frist	frisst
.	.
^	
?!./	?!./
Gruß	Gruß
klein	klein
Gehaus	?Gehaus
