Der	Der
Turm	Turm
\h	\h
Lea	Lea
Lars	Lars
und	und
Dodo	Dodo
haben	haben
Besuch	Besuch
^	
von	von
Tom	Tom
sie	sie
wollen	wollen
einen	einen
Turm	Turm
^	
Bauen	bauen
,	,
Lea	Lea
und	und
Lars	Lars
fragen	fragen
od	ob
Tom	Tom
^	
sich	sich
auf	auf
eine	eine
Kiste	Kiste
setzen	setzen
wil	will
Tom	Tom
^	
sagt	sagt
ja	ja
,	,
sie	sie
Bauen	bauen
einen	einen
Turm	Turm
.	.
^	
Dodo	Dodo
geht	geht
unter	unter
Lars	Lars
seine	seine
Kiste	Kiste
^	
Lars	Lars
steht	steht
limlich	nämlich
grabe	grade
auf	auf
der	der
^	
Anderen	anderen
seite	Seite
weil	weil
er	er
ein	ein
Klotz	Klotz
auf	auf
den	den
Turm	Turm
legen	legen
wiel	will
^	
Lars	Lars
wiel	will
sich	sich
wieber	wieder
hin_^setzen	hinsetzen
od_woll	obwohl
Dodo	Dodo
da	da
^	
drunter	drunter
ist	ist
Lars	Lars
Kugt	kuckt
Tom	Tom
an	an
.	.
^	
Lars	Lars
fehlt	fällt
von	von
dem	dem
Hoker	Hocker
weil	weil
^	
Dodo	Dodo
raus	raus
aus	aus
der	der
Kiste	Kiste
wiel	will
^	
da_dei	dabei
fehlt	fällt
der	der
Turm	Turm
um	um
^	
Tom	Tom
wiel	will
den	den
Turm	Turm
reten	retten
^	
arder	aber
er	er
fehlt	fällt
um	um
auf	auf
Tom	Tom
^	
Lea	Lea
helt	hält
Lars	Lars
fest	fest
^	
sie	sie
Denken	denken
Das	dass
ein	ein
gespenst	Gespenst
da	da
^	
Drunter	drunter
ist	ist
.	.
^	
Sie	Sie
Kugen	kucken
ganz	ganz
komisch	komisch
^	
sie	sie
Denken	denken
das	dass
da	da
wirklich	wirklich
^	
eins	eins
ist	ist
^	
Lea	Lea
Lars	Lars
und	und
Tom	Tom
sehen	sehen
das	dass
^	
Dodo	Dodo
das	das
war	war
.	.
