Verfigst	Verflixt
noch_mall	nochmal
\h	\h
An	An
einem	einem
schönen	schönen
morgen	Morgen
^	
geht	geht
Lea	Lea
zu	zu
schuhle	Schule
sie	sie
nimt	nimmt
dodo	Dodo
mit	mit
,	,
auf	auf
dem	dem
^	
weg	Weg
trift	trifft
sie	sie
Lars	Lars
sie	sie
wolen	wollen
^	
sich	sich
umarmen	umarmen
.	.
Lea	Lea
zeigt	zeigt
Lars	Lars
dodo	Dodo
^	
dodo	Dodo
wiel	will
Lars	Lars
ap_lecken	ablecken
und	und
^	
Lars	Lars
freut	freut
sich	sich
.	.
^	
Dan	Dann
sient	sind
die	die
drei	drei
angeckomen	angekommen
^	
Lea	Lea
fersteckt	versteckt
dodo	Dodo
und	und
Lars	Lars
sagt	sagt
zu	zu
^	
Lea	Lea
:	:
"	"
hei	?Hei
las	lass
aber	aber
nicht	nicht
dodo	Dodo
raus	raus
!	!
"	"
^	
Dan	Dann
mus	muss
Lea	Lea
mate	Mathe
mahen	machen
^	
7	7
x	x
18	18
=	=
?	?
20	20
:	:
9	9
=	=
17,5	17,5
:	:
?	?
=	=
37	37
^	
dodo	Dodo
lauft	lauft
zum	zum
fenst*	Fenster
.	.
^	
Lea	Lea
hot	hat
sich	sich
erschroken	erschrocken
^	
vel	weil
dodo	Dodo
gebelt	gebellt
rat	hat
ser	sehr
^	
ser	sehr
laut	laut
auf	auf
eim	ein
Vogel	Vogel
^	
die	die
Lehreren	Lehrerin
komt	kommt
auf	auf
eim_mal	einmal
