Leas	Leas
Tasche	Tasche
\h	\h
Eines	Eines
Tages	Tages
wollte	wollte
Lea	Lea
mit	mit
Dodo	Dodo
nach	nach
^	
Dortmund	Dortmund
.	.
Vor	Vor
ihr	ihr
saß	saß
ein	ein
alter	alter
Mann	Mann
mit	mit
^	
einen	einen
Spazierstock	Spazierstock
.	.
Lea	Lea
hatte	hatte
auch	auch
eine	eine
gelb_^orangenen	gelb-orangenen
Rucksack	Rucksack
dabei	dabei
.	.
Sie	Sie
schaute	schaute
aus	aus
dem	dem
^	
Fenster	Fenster
und	und
Dodo	Dodo
guckte	guckte
den	den
alten	alten
Mann	Mann
^	
komisch	komisch
an	an
.	.
Danach	Danach
war	war
sie	sie
in	in
Dortmund	Dortmund
^	
angekommen	angekommen
.	.
Sie	Sie
ging	ging
mit	mit
Dodo	Dodo
rauß	raus
und	und
^	
sagte	sagte
:	:
"	"
Pass	Pass
auf	auf
Dodo	Dodo
"	"
!	!
Dann	Dann
ist	ist
der	der
Bus	Bus
losgefahren	losgefahren
^	
Plötzlich	Plötzlich
merkt	merkt
sie	sie
das	dass
sie	sie
ihren	ihren
Rucksack	Rucksack
^	
im	im
Bus	Bus
vergessen	vergessen
haben	haben
.	.
Lea	Lea
rief	rief
hinter	hinter
den	den
^	
Bus	Bus
hinterher	hinterher
:	:
"	"
Halt	Halt
!	!
Halt	Halt
!	!
Mein	Mein
Rucksack	Rucksack
ist	ist
noch	noch
^	
im	im
Bus	Bus
"	"
!	!
Der	Der
alte	alte
Mann	Mann
hielt	hielt
ihre	ihre
Tasche	Tasche
^	
aus	aus
dem	dem
Fenster	Fenster
und	und
rief	rief
:	:
"	"
Du	Du
kleines	kleines
^	
Mädchen	Mädchen
hast	hast
deine	deine
Tasche	Tasche
hier	hier
vergessen	vergessen
"	"
!	!
^	
Dodo	Dodo
rante	rannte
auch	auch
.	.
Später	Später
brachte	brachte
der	der
alte	alte
^	
Mann	Mann
den	den
Rucksack	Rucksack
in	in
ein	ein
Fundbüro	Fundbüro
.	.
Die	Die
^	
Tasche	Tasche
bekamm	bekam
die	die
Numer	Nummer
38	38
und	und
der	der
^	
alte	alte
Mann	Mann
sagte	sagte
:	:
"	"
Wenn	Wenn
sie	sie
ein	ein
Mädchen	Mädchen
^	
mit	mit
einer	einer
Blau_,rot_,Gelb_farbenden	blau-rot-gelb-farbenen
Kette	Kette
und	und
roten	roten
^	
Harren	Haaren
und	und
einen	einen
Pinken	pinken
T-shirt	T-Shirt
.	.
"	"
Darauf_hin	Daraufhin
ging	ging
^	
Lea	Lea
zum	zum
Fundbüro	Fundbüro
und	und
fragte	fragte
:	:
"	"
Haben	Haben
sie	Sie
einen	einen
^	
gelb_orangenen	gelb-orangenen
Rucksack	Rucksack
bekommen	bekommen
?	?
"	"
der	Der
Mann	Mann
^	
sagte	sagte
:	:
"	"
Na	Na
klaro	klaro
habe	habe
ich	ich
gerade	gerade
von	von
einen	einen
netten	netten
^	
alten	alten
Mann	Mann
bekommm	bekomm
.	.
"	"
Der	Der
Mann	Mann
gab	gab
Lea	Lea
^	
den	den
Rucksack	Rucksack
und	und
lächelte	lächelte
sie	sie
an	an
und	und
^	
winkte	winkte
ihr	ihr
zu	zu
.	.
Lea	Lea
winkte	winkte
in	ihn
zurück	zurück
und	und
Dodo	Dodo
^	
belte	bellte
fröhlich	fröhlich
:	:
"	"
Wuf	Wuff
!	!
Wuf	Wuff
!	!
"	"
