Lea	Lea
und	und
Lars	Lars
gehen	gehen
^	
mit	mit
Dodo	Dodo
Eis	Eis
kaufen	kaufen
^	
Dodo	Dodo
wollte	wollte
auch	auch
ein	ein
^	
Eis	Eis
Lea	Lea
und	und
Lars	Lars
^	
gingen	gingen
spaziren	spazieren
Leas	Leas
^	
Eis	Eis
chmilste	~schmilzte
und	und
Dodo	Dodo
^	
esste	~esste
die	die
trofen	Tropfen
Lea	Lea
^	
ist	ist
auf	auf
Dodo	Dodo
gestolpert	gestolpert
^	
Lea	Lea
hat	hat
sich	sich
wegetan	wehgetan
^	
und	und
Dodo	Dodo
war	war
zu_friden	zufrieden
^	
Lars	Lars
hefte	~helfte
Lea	Lea
auf_zu_^sten	aufzustehen
Lars	Lars
teilte	teilte
sein	sein
^	
Eis	Eis
Lea	Lea
war	war
auch	auch
zu_^friden	zufrieden
Lea	Lea
und	und
Lars	Lars
gehen	gehen
nach	nach
Hause	Hause
.	.
