Dodo	Dodo
in	in
der	der
Schule	Schule
\h	\h
Lea	Lea
und	und
Lars	Lars
gehen	gehen
zur	zur
Schule	Schule
.	.
^	
Eigentlich	Eigentlich
darf	darf
Lea	Lea
Dodo	Dodo
nicht	nicht
mit	mit
zur	zur
^	
Schule	Schule
bringen	bringen
.	.
^	
Ein	Ein
paar	paar
Minuten	Minuten
später	später
sind	sind
sie	sie
^	
in	in
den	den
Klassenraum	Klassenraum
.	.
^	
Sie	Sie
reden	reden
mit_anander	miteinander
.	.
Bis	Bis
Lea	Lea
anfengt	anfängt
^	
zur	zur
arbeiten	arbeiten
.	.
^	
vorsichtig	Vorsichtig
geht	geht
Dodo	Dodo
aus	aus
der	der
Jacke	Jacke
^	
und	und
vängt	fängt
an	an
zur	zur
bellen	bellen
.	.
^	
Von	Von
krach	Krach
aufmerksam	aufmerksam
hat	hat
die	die
Lehrerin	Lehrerin
^	
nach	nach
gesehen	gesehen
.	.
^	
Lea	Lea
war	war
es	es
peimlich	peinlich
weil	weil
jetzt	jetzt
^	
jeder	jeder
weist	weißt
das	dass
Lea	Lea
ein	ein
Hund	Hund
in	in
^	
der	der
Schule	Schule
hat	hat
