|original|corrected|filename|freq_ori|freq_cor|freq_tup|unchanged_original|suggestions
0|belt|bellt|01-005-2-III-Eis.csv|91|138|91|belt|['lebt', 'bellt', 'bebt', 'Welt', 'Zelt', 'bettelt', 'Betel']
1|kukt|kuckt|01-005-2-III-Eis.csv|73|152|73|kukt|['kurt', 'bukt', 'Kult']
2|dan|dann|01-005-2-III-Eis.csv|627|651|621|dan|['an', 'da', 'dann', 'dran', 'dank', 'den', 'das', 'ran', 'dar', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'd an', 'da n']
3|gekricht|gekriegt|01-005-2-III-Eis.csv|2|15|2|gekricht|['gekracht', 'gekreischt', 'Gericht', 'gerichtet', 'gerichtlich']
4|leken|lecken|01-005-2-III-Eis.csv|14|17|14|leken|['lenken', 'lecken', 'ekeln', 'lenke', 'lesen', 'legen', 'leben', 'Lenken', 'Lecken', 'keilen']
5|felt|fällt|01-005-2-III-Eis.csv|93|198|90|felt|['fehlt', 'fielt', 'feilt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']
6|wolte|wollte|01-005-2-III-Eis.csv|173|201|173|wolte|['wollte', 'walte', 'wolle', 'holte']
7|lekt|leckt|01-005-2-III-Eis.csv|20|42|19|lekt|['lenkt', 'leckt', 'lest', 'legt', 'lebt', 'Sekt', 'Lektor']
8|fom|vom|01-005-2-III-Eis.csv|13|16|13|fom|['vom', 'Rom', 'Tom', 'Dom', 'Form']
9|dan|dann|01-005-2-III-Eis.csv|627|651|621|dan|['an', 'da', 'dann', 'dran', 'dank', 'den', 'das', 'ran', 'dar', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'd an', 'da n']
10|dan|dann|01-005-2-III-Eis.csv|627|651|621|dan|['an', 'da', 'dann', 'dran', 'dank', 'den', 'das', 'ran', 'dar', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'd an', 'da n']
11|leken|lecken|01-005-2-III-Eis.csv|14|17|14|leken|['lenken', 'lecken', 'ekeln', 'lenke', 'lesen', 'legen', 'leben', 'Lenken', 'Lecken', 'keilen']
12|gawen|kaufen|01-006-2-III-Eis.csv|1|6|1|gawen|['wagen', 'garen', 'gaben', 'Gazen']
13|din|ein|01-006-2-III-Eis.csv|2|26|1|din|['DIN', 'in', 'dein', 'drin', 'ein', 'den', 'die', 'dir', 'hin', 'bin', 'div', 'Pin', 'd in']
14|Keld|Geld|01-006-2-III-Eis.csv|1|5|1|Keld|['Geld', 'Held', 'Feld', 'Kelle']
15|man|Mann|01-006-2-III-Eis.csv|79|132|79|man|
16|man|Mann|01-006-2-III-Eis.csv|79|132|79|man|
17|gien|gehen|01-006-2-III-Eis.csv|1|78|1|gien|['gen', 'gier', 'Wien', 'gießen', 'Gießen']
18|nahaise|nachhause|01-006-2-III-Eis.csv|1|10|1|nahaise|['Nachweise']
19|esen|essen|01-006-2-III-Eis.csv|22|14|12|esen|['essen', 'lesen', 'Lesen', 'Besen', 'Wesen', 'eben', 'äsen', 'Ösen']
20|esen|essen|01-006-2-III-Eis.csv|22|14|12|esen|['essen', 'lesen', 'Lesen', 'Besen', 'Wesen', 'eben', 'äsen', 'Ösen']
21|aba|aber|01-006-2-III-Eis.csv|21|60|21|aba|['ab', 'ab a']
22|gieben|geben|01-006-2-III-Eis.csv|1|3|1|gieben|['biegen', 'geben', 'sieben', 'rieben', 'gieren', 'lieben', 'gießen', 'Sieben', 'Lieben', 'Dieben', 'Hieben', 'Giebeln', 'Belgien']
23|wollt|wollte|01-006-2-III-Eis.csv|2|201|2|wollt|
24|feid|fällt|01-006-2-III-Eis.csv|1|198|1|feid|['feind', 'seid', 'fein', 'feil', 'feig', 'Neid', 'Leid', '-eid', 'Feind']
25|gen|gehen|01-012-2-III-Eis.csv|31|78|31|gen|
26|wil|will|01-012-2-III-Eis.csv|95|157|95|wil|['weil', 'will', 'wild', 'wie', 'wir', 'Nil', 'Willi']
27|gipt|gibt|01-012-2-III-Eis.csv|18|42|18|gipt|['gilt', 'gibt', 'Gips']
28|felt|fällt|01-012-2-III-Eis.csv|93|198|90|felt|['fehlt', 'fielt', 'feilt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']
29|ter|der|01-012-2-III-Eis.csv|1|9|1|ter|['der', 'er', 'per', 'her', 'wer', 't er']
30|felt|fällt|01-012-2-III-Eis.csv|93|198|90|felt|['fehlt', 'fielt', 'feilt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']
31|lekt|leckt|01-012-2-III-Eis.csv|20|42|19|lekt|['lenkt', 'leckt', 'lest', 'legt', 'lebt', 'Sekt', 'Lektor']
32|gipt|gibt|01-012-2-III-Eis.csv|18|42|18|gipt|['gilt', 'gibt', 'Gips']
33|ap|ab|01-012-2-III-Eis.csv|26|30|26|ap|['p', 'a', 'Kap', 'an', 'ad', 'au', 'am', 'ab', 'kp', 'aß', 'a p', 'API']
34|ale|alle|01-012-2-III-Eis.csv|34|39|33|ale|['aale', 'alte', 'alle', 'adle', 'male', 'Aale', 'Wale', 'als', 'alt', 'all', 'ade', 'öle', 'Öle', 'Allee']
35|frölich|fröhlich|01-012-2-III-Eis.csv|51|92|51|frölich|['fröhlich', 'freilich']
36|siend|sind|01-025-2-III-Eis.csv|16|66|16|siend|['sind', 'seiend', 'säend']
37|weitagegangen|weitergegangen|01-025-2-III-Eis.csv|1|1|1|weitagegangen|['entzweigegangen', 'weggegangenen', 'weggegangen', 'eingegangenen']
38|natürlig|natürlich|01-025-2-III-Eis.csv|1|19|1|natürlig|['natürlich']
39|üder|über|01-025-2-III-Eis.csv|8|35|8|üder|['der', 'müder', 'oder', 'über', 'öder', 'Eder', 'Ader', 'ü der', 'ermüde']
40|ier|ihr|01-025-2-III-Eis.csv|7|40|6|ier|['er', 'gier', 'hier', 'vier', 'zier', 'Eier', 'Tier', 'Gier', 'Bier', 'Zier', 'irr', 'der', 'per', 'her', 'ihr', 'wer', 'i er']
41|runder|runter|01-025-2-III-Eis.csv|18|60|18|runder|
42|harden|haben|01-025-2-III-Eis.csv|2|19|2|harden|['harten', 'hadern', 'harren', 'harken', 'Garden', 'Barden']
43|schneel|schnell|01-025-2-III-Eis.csv|1|76|1|schneel|['scheel', 'schnell', 'schnee-', 'Schnee', 'Schnösel']
44|haten|hatten|01-025-2-III-Eis.csv|53|55|53|haten|['hasten', 'harten', 'hatten', 'halten', 'chaten', 'hauten', 'haften', 'hakten', 'raten', 'taten', 'hauen', 'baten', 'haben', 'haken', 'waten', 'hüten', 'Raten', 'Taten', 'Daten', 'Paten', 'chateten', 'Halten', 'hatte']
45|arder|aber|01-025-2-III-Eis.csv|3|60|3|arder|['arider', 'Marder', 'arger', 'armer', 'Order', 'Erhard', 'erde', 'Erde']
46|haten|hatten|01-025-2-III-Eis.csv|53|55|53|haten|['hasten', 'harten', 'hatten', 'halten', 'chaten', 'hauten', 'haften', 'hakten', 'raten', 'taten', 'hauen', 'baten', 'haben', 'haken', 'waten', 'hüten', 'Raten', 'Taten', 'Daten', 'Paten', 'chateten', 'Halten', 'hatte']
47|gugel|Kugel|01-025-2-III-Eis.csv|1|3|1|gugel|['Kugel', 'Gurgel']
48|hate|hatte|01-025-2-III-Eis.csv|400|427|400|hate|['hat', 'haste', 'harte', 'hatte', 'halte', 'chate', 'haute', 'hafte', 'hakte', 'rate', 'haue', 'habe', 'hake', 'wate', 'hüte', 'Rate', 'Pate', 'hat e']
49|hate|hatte|01-025-2-III-Eis.csv|400|427|400|hate|['hat', 'haste', 'harte', 'hatte', 'halte', 'chate', 'haute', 'hafte', 'hakte', 'rate', 'haue', 'habe', 'hake', 'wate', 'hüte', 'Rate', 'Pate', 'hat e']
50|geld|gelb|01-025-2-III-Eis.csv|1|1|1|geld|['Geld', '-geld', 'geld-', 'gelb', 'Held', 'Feld']
51|eisferkeufer|Eisverkäufer|01-026-2-III-Eis.csv|1|4|1|eisferkeufer|['Eisenklopfer']
52|in|ihn|01-026-2-III-Eis.csv|261|270|260|in|
53|Dan|Dann|01-026-2-III-Eis.csv|188|197|185|Dan|['An', 'Dank', 'Ran', 'Don', 'Man', 'Van', 'San', 'Jan', 'Pan', 'Fan', 'Da', 'Dann', 'Dran', 'Den', 'Das', 'Dar', 'D an', 'Da n']
54|gen|gehen|01-026-2-III-Eis.csv|31|78|31|gen|
55|esen|essen|01-026-2-III-Eis.csv|22|14|12|esen|['essen', 'lesen', 'Lesen', 'Besen', 'Wesen', 'eben', 'äsen', 'Ösen']
56|ir|ihr|01-026-2-III-Eis.csv|27|40|27|ir|['r', 'i', 'irr', 'dir', 'mir', 'ihr', 'wir', 'Sir', 'Kir', 'er', 'in', 'im', 'Ar', 'Mr', 'Fr', 'i r', 'IRC']
57|fenkt|fängt|01-026-2-III-Eis.csv|1|29|1|fenkt|['senkt', 'lenkt', 'denkt', 'funkt']
58|get|geht|01-026-2-III-Eis.csv|56|85|56|get|['geht', 'et', 'gebt', 'gen', 'gut', 'geh', 'Set', 'Jet', 'g et']
59|Stolpat|stolpert|01-026-2-III-Eis.csv|2|27|2|Stolpat|['Tolpatsch']
60|üba|über|01-026-2-III-Eis.csv|7|35|7|üba|['übe', 'übt']
61|fellt|fällt|01-026-2-III-Eis.csv|9|198|9|fellt|['feilt', 'fallt', 'gellt', 'pellt', 'hellt', 'fehlt', 'bellt', 'wellt', 'fällt', 'füllt', 'fell-', 'Fell', 'täfelt', 'tafelt']
62|ir|ihr|01-026-2-III-Eis.csv|27|40|27|ir|['r', 'i', 'irr', 'dir', 'mir', 'ihr', 'wir', 'Sir', 'Kir', 'er', 'in', 'im', 'Ar', 'Mr', 'Fr', 'i r', 'IRC']
63|fellt|fällt|01-026-2-III-Eis.csv|9|198|9|fellt|['feilt', 'fallt', 'gellt', 'pellt', 'hellt', 'fehlt', 'bellt', 'wellt', 'fällt', 'füllt', 'fell-', 'Fell', 'täfelt', 'tafelt']
64|hinn|hin|01-026-2-III-Eis.csv|2|17|2|hinn|['hin', 'hinan', 'hing', 'Sinn', 'Kinn', 'Zinn', 'hin n']
65|ir|ihr|01-026-2-III-Eis.csv|27|40|27|ir|['r', 'i', 'irr', 'dir', 'mir', 'ihr', 'wir', 'Sir', 'Kir', 'er', 'in', 'im', 'Ar', 'Mr', 'Fr', 'i r', 'IRC']
66|lekt|leckt|01-026-2-III-Eis.csv|20|42|19|lekt|['lenkt', 'leckt', 'lest', 'legt', 'lebt', 'Sekt', 'Lektor']
67|ide|Idee|01-026-2-III-Eis.csv|12|34|12|ide|['IDE', 'die', 'de', 'Eide', 'ade', 'öde', 'Ode', 'Ude', 'Bde', 'i de']
68|giebt|gibt|01-026-2-III-Eis.csv|16|42|15|giebt|['gibt', 'biegt', 'gebt', 'siebt', 'riebt', 'giert', 'liebt', 'gießt']
69|dan|dann|01-026-2-III-Eis.csv|627|651|621|dan|['an', 'da', 'dann', 'dran', 'dank', 'den', 'das', 'ran', 'dar', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'd an', 'da n']
70|gen|gehen|01-026-2-III-Eis.csv|31|78|31|gen|
71|glüklieg|glücklich|01-026-2-III-Eis.csv|1|163|1|glüklieg|['glückselig']
72|bekomen|bekommen|01-028-2-III-Eis.csv|19|31|18|bekomen|['bekommen', 'bekamen', 'bekämen', 'bekomme', 'beklommen', 'benommen', 'kommen']
73|kabut|kaputt|01-028-2-III-Eis.csv|4|126|4|kabut|['kaut', 'Kabul']
74|hingefalen|hingefallen|01-028-2-III-Eis.csv|5|11|5|hingefalen|['hingefallen', 'hineingefallen', 'eingefallen', 'hingehalten', 'hineinfallen']
75|rhr|ihr|01-028-2-III-Eis.csv|1|40|1|rhr|['ihr', 'rar', 'Ohr', 'Uhr', 'Rohr']
76|Teielt|teilt|01-028-2-III-Eis.csv|1|6|1|Teielt|['Teilt', 'Teilte']
77|möschde|möchte|01-029-2-III-Eis.csv|1|14|1|möschde|['löschende']
78|aba|aber|01-029-2-III-Eis.csv|21|60|21|aba|['ab', 'ab a']
79|aba|aber|01-029-2-III-Eis.csv|21|60|21|aba|['ab', 'ab a']
80|past|passt|01-029-2-III-Eis.csv|2|3|2|past|['passt', 'paust', 'rast', 'last', 'hast', 'fast', 'Rast', 'Last', 'Gast', 'Mast', 'Bast', '-ast']
81|veil|weil|01-029-2-III-Eis.csv|4|82|4|veil|['viel', 'seil', 'teil', 'geil', 'heil', 'feil', 'weil', 'Seil', 'Teil', 'Beil', 'Keil']
82|möschte|möchte|01-029-2-III-Eis.csv|2|14|2|möschte|['möchte', 'mischte', 'löschte']
83|on|und|01-029-2-III-Eis.csv|2|106|2|on|['n', 'o', 'von', 'Ion', 'Ton', 'Don', 'Bon', 'Xon', 'Äon', 'in', 'an', 'oh', 'ob', 'o n']
84|dan|dann|01-029-2-III-Eis.csv|627|651|621|dan|['an', 'da', 'dann', 'dran', 'dank', 'den', 'das', 'ran', 'dar', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'd an', 'da n']
85|runtergefalen|runtergefallen|01-029-2-III-Eis.csv|12|28|12|runtergefalen|['heruntergefallen', 'heruntergefahren', 'herunterfallen', 'heruntergeladen']
86|ern|er|01-029-2-III-Eis.csv|2|14|2|ern|['er', 'gern', 'fern', 'Bern', 'Kern', 'ein', 'er n', 'Ernte']
87|fählt|fällt|01-029-2-III-Eis.csv|5|198|5|fählt|['pfählt', 'fehlt', 'fährt', 'fällt', 'wählt', 'zählt', 'fühlt']
88|vegen|wegen|01-029-2-III-Eis.csv|1|5|1|vegen|['vagen', 'regen', 'legen', 'gegen', 'hegen', 'fegen', 'wegen', 'Segen', 'Regen', 'Legen', 'Degen', 'Wegen', 'verenge']
89|glüglich|glücklich|01-029-2-III-Eis.csv|18|163|18|glüglich|['glücklich', 'füglich', 'glich']
90|veint|weint|01-029-2-III-Eis.csv|1|67|1|veint|['eint', 'meint', 'weint', 'Teint', 'v eint']
91|ern|er|01-029-2-III-Eis.csv|2|14|2|ern|['er', 'gern', 'fern', 'Bern', 'Kern', 'ein', 'er n', 'Ernte']
92|veil|weil|01-029-2-III-Eis.csv|4|82|4|veil|['viel', 'seil', 'teil', 'geil', 'heil', 'feil', 'weil', 'Seil', 'Teil', 'Beil', 'Keil']
93|hie|hier|01-029-2-III-Eis.csv|1|55|1|hie|
94|krikt|kriegt|01-037-2-III-Eis.csv|8|51|8|krikt|['Kritik']
95|bischen|bisschen|01-037-2-III-Eis.csv|20|57|20|bischen|['bisschen', 'mischen', 'fischen', 'wischen', 'zischen', 'Nischen', 'Tischen', 'Mischen', 'Fischen']
96|felt|fällt|01-037-2-III-Eis.csv|93|198|90|felt|['fehlt', 'fielt', 'feilt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']
97|felt|fällt|01-037-2-III-Eis.csv|93|198|90|felt|['fehlt', 'fielt', 'feilt', 'elft', 'fest', 'fett', 'fegt', 'Welt', 'Zelt']
98|au|auf|01-037-2-III-Eis.csv|6|17|1|au|
99|schlekt|schleckt|01-037-2-III-Eis.csv|2|4|1|schlekt|['schlecht', 'schleckt']
100|ales|alles|01-037-2-III-Eis.csv|35|37|34|ales|['als', 'altes', 'alles', 'Aales', 'Tales', 'Wales', 'legales']
101|TroPfschen|Tröpfchen|01-045-2-III-Eis.csv|1|2|1|TroPfschen|['Tropischen', 'Tropfsteinen']
102|gestolPat|gestolpert|01-045-2-III-Eis.csv|1|14|1|gestolPat|['gestolpert']
103|wegetan|wehgetan|01-045-2-III-Eis.csv|11|17|11|wegetan|['weggetan', 'angetan', 'getan']
104|Glöklesch|glücklich|01-045-2-III-Eis.csv|1|163|1|Glöklesch|['Geschmäckle']
105|rich|riech|01-045-2-III-Eis.csv|2|2|2|rich|['ich', 'reich', 'brich', 'Erich', 'eich', 'sich', 'roch', 'dich', 'mich', 'wich', 'r ich']
106|Spatzirn|spazieren|01-049-2-III-Eis.csv|1|116|1|Spatzirn|['Patriziern']
107|falt|fallt|01-049-2-III-Eis.csv|9|11|9|falt|['alt', 'falte', 'fallt', 'fault', 'falzt', 'falt-', 'fast', 'aalt', 'galt', 'malt', 'halt', 'falb', 'kalt', 'faxt', 'Halt', 'f alt', 'fatal']
108|Giebt|gibt|01-049-2-III-Eis.csv|1|42|1|Giebt|['Siebt', 'Riebt', 'Liebt', 'Gibt', 'Biegt', 'Gebt', 'Giert', 'Gießt']
109|eien|eine|01-049-2-III-Eis.csv|2|9|1|eien|['ein', 'eine', 'seien', 'einen', 'eilen', 'eigen', 'eben', 'Wien']
110|dan|dann|01-049-2-III-Eis.csv|627|651|621|dan|['an', 'da', 'dann', 'dran', 'dank', 'den', 'das', 'ran', 'dar', 'man', 'van', 'San', 'Jan', 'Pan', 'Fan', 'd an', 'da n']
111|Nachause|nachhause|01-049-2-III-Eis.csv|1|10|1|Nachause|['Nachschaue', 'Nachschau', 'Nachwachse']
112|Lekt|leckt|01-049-2-III-Eis.csv|4|42|4|Lekt|['Sekt', 'Lenkt', 'Leckt', 'Lest', 'Legt', 'Lebt', 'Lektor']
113|siech|sich|01-054-2-III-Eis.csv|24|55|24|siech|
114|wolte|wollte|01-054-2-III-Eis.csv|173|201|173|wolte|['wollte', 'walte', 'wolle', 'holte']
115|gehmergt|gemerkt|01-054-2-III-Eis.csv|1|10|1|gehmergt|['geschmerzt']
116|das|dass|01-054-2-III-Eis.csv|985|1017|981|das|
117|wolte|wollte|01-054-2-III-Eis.csv|173|201|173|wolte|['wollte', 'walte', 'wolle', 'holte']
118|gehttropft|getropft|01-054-2-III-Eis.csv|1|2|1|gehttropft|['geht tropft', 'geht-tropft', 'getropft']
119|glüglich|glücklich|01-054-2-III-Eis.csv|18|163|18|glüglich|['glücklich', 'füglich', 'glich']
120|das|dass|01-054-2-III-Eis.csv|985|1017|981|das|
121|bekomen|bekommen|01-054-2-III-Eis.csv|19|31|18|bekomen|['bekommen', 'bekamen', 'bekämen', 'bekomme', 'beklommen', 'benommen', 'kommen']
122|gefalen|gefallen|01-054-2-III-Eis.csv|50|69|50|gefalen|['gefallen', 'Gefallen', 'gefalzten', 'gefalle', 'gefangen']
123|ristig|richtig|01-054-2-III-Eis.csv|1|9|1|ristig|['rissig', 'rostig', 'listig', 'mistig', 'rüstig', 'strittig']
124|glüglist|glücklich|01-054-2-III-Eis.csv|1|163|1|glüglist|['Arglist']
125|is|iss|01-054-2-III-Eis.csv|19|2|1|is|['iss', 's', 'i', 'ins', 'ist', 'bis', 'Eis', 'es', 'in', 'ms', 'im', 'i s']
126|schnel|schnell|01-054-2-III-Eis.csv|60|76|60|schnel|['schnell', 'scheel', 'Schnösel', 'Schnee', 'Schnäbel', 'Schnabel']
127|Hinther|hinterher|01-054-2-III-Eis.csv|1|38|1|Hinther|['Hinter']
128|sint|sind|01-057-2-III-Eis.csv|20|66|20|sint|['sind', 'sinnt', 'singt', 'sinkt', 'eint', 'sing']
129|i|in|01-057-2-III-Eis.csv|2|21|1|i|
130|eiswargen|Eiswagen|01-057-2-III-Eis.csv|1|3|1|eiswargen|['Eiswargen', '-eiswargen', 'Weissagen']
131|si|sie|01-057-2-III-Eis.csv|51|86|46|si|['sie', 'i', 's', 'sei', 'so', 'pi', 'xi', 'Ei', 'Hi', 's i']
132|ei|ein|01-057-2-III-Eis.csv|5|26|4|ei|['Ei', 'i', 'e', 'sei', 'ein', 'bei', '-ei', 'es', 'er', 'et', 'eo', 'pi', 'eh', 'xi', 'ex', 'Hi', 'e i']
133|gen|gehen|01-057-2-III-Eis.csv|31|78|31|gen|
134|unt|und|01-057-2-III-Eis.csv|30|106|30|unt|['und', 'bunt', 'unkt', 'tun', 'uns']
135|sih|sie|01-057-2-III-Eis.csv|11|86|8|sih|['sieh', 'sich', 'sie', 'sah']
136|leken|lecken|01-057-2-III-Eis.csv|14|17|14|leken|['lenken', 'lecken', 'ekeln', 'lenke', 'lesen', 'legen', 'leben', 'Lenken', 'Lecken', 'keilen']
137|schtoiper|stolper|01-057-2-III-Eis.csv|1|1|1|schtoiper|['scheintoter']
138|Fersucht|versucht|01-057-2-III-Eis.csv|1|43|1|Fersucht|['Ersucht', 'Fernsucht', 'Versucht', 'Ufersucht', 'F ersucht', 'Feucht']
139|sih|sie|01-057-2-III-Eis.csv|11|86|8|sih|['sieh', 'sich', 'sie', 'sah']
140|lerken|lecken|01-057-2-III-Eis.csv|1|17|1|lerken|['lenken', 'lernen', 'lecken', 'merken', 'werken', 'Werken', 'Lenker', 'Erkennen', 'erkennen', 'Erkenner']
141|unt|und|01-057-2-III-Eis.csv|30|106|30|unt|['und', 'bunt', 'unkt', 'tun', 'uns']
142|gept|gebt|01-057-2-III-Eis.csv|1|3|1|gept|['geht', 'gebt', 'gepumpt']
143|Fos|was|01-057-2-III-Eis.csv|1|15|1|Fos|['Los', 'Fotos']
144|aP|ab|01-057-2-III-Eis.csv|1|30|1|aP|['a P', 'a', 'an', 'ad', 'au', 'am', 'ab', 'aß', 'IP', 'HP', 'BP', 'KP', 'XP', 'p', 'Kap', 'kp', 'API']
145|gen|gehen|01-057-2-III-Eis.csv|31|78|31|gen|
146|fer|wenn|01-057-2-III-Eis.csv|1|46|1|fer|['er', 'fern', 'Ufer', 'der', 'per', 'her', 'wer', 'für', 'f er']
147|si|sie|01-057-2-III-Eis.csv|51|86|46|si|['sie', 'i', 's', 'sei', 'so', 'pi', 'xi', 'Ei', 'Hi', 's i']
148|nisct|nicht|01-057-2-III-Eis.csv|1|135|1|nisct|['Nische']
149|gechareln|gestorben|01-057-2-III-Eis.csv|1|9|1|gechareln|['gechartert']
150|si|sie|01-057-2-III-Eis.csv|51|86|46|si|['sie', 'i', 's', 'sei', 'so', 'pi', 'xi', 'Ei', 'Hi', 's i']
151|Hete|heute|01-057-2-III-Eis.csv|1|1|1|Hete|['Hefte', 'Bete', 'Hefe', 'Hexe', 'Hüte', 'Heute', 'Hegte', 'Hexte', 'Hetze', 'Hege', 'Hebe', 'Hetzte']
152|gescholpat|gestolpert|01-058-2-III-Eis.csv|1|14|1|gescholpat|['gescholten']
153|traurisch|traurig|01-058-2-III-Eis.csv|8|119|8|traurisch|['traumatisch', 'australisch', 'taufrisch', 'misstrauisch']
154|Glicklich|glücklich|01-058-2-III-Eis.csv|1|163|1|Glicklich|['Glücklich', 'Schicklich', 'Kläglich', 'Kärglich', 'Glich']
155|haten|hatten|01-058-2-III-Eis.csv|53|55|53|haten|['hasten', 'harten', 'hatten', 'halten', 'chaten', 'hauten', 'haften', 'hakten', 'raten', 'taten', 'hauen', 'baten', 'haben', 'haken', 'waten', 'hüten', 'Raten', 'Taten', 'Daten', 'Paten', 'chateten', 'Halten', 'hatte']
156|spazirn|spazieren|01-060-2-III-Eis.csv|1|116|1|spazirn|['spazieren']
157|kamm|kam|01-060-2-III-Eis.csv|100|129|100|kamm|['Kamm', 'kam', 'klamm', '-kamm', 'kamt', 'komm', 'kaum', 'Lamm', 'Damm', 'kam m']
