LERA'S	LEAS
RUCKSACK	RUCKSACK
\h	\h
Lera	Lea
und	und
dodo	Dodo
sind	sind
im	im
Bus	Bus
.	.
Und	Und
gegenüber	gegenüber
siehzt	sitzt
^	
ein	ein
allter	alter
Oper	Opa
.	.
^	
Lea	Lea
hatte	hatte
Rucksagk	Rucksack
dabei	dabei
.	.
^	
Lera	Lea
und	und
dodo	Dodo
sind	sind
im	im
Bus	Bus
ausgestieben	ausgestiegen
^	
aber	aber
Lera	Lea
hatte	hatte
ihren	ihren
Rucksagk	Rucksack
vergessen	vergessen
.	.
^	
Der	Der
Bus	Bus
ist	ist
ein	ein
klein	klein
bisshen	bisschen
weiter	weiter
gefahren	gefahren
.	.
^	
Der	Der
Oper	Opa
hat	hat
die	die
Rucksagt	Rucksack
aus	aus
dem	dem
scheibe	Scheibe
gemacht	gemacht
.	.
^	
Lera	Lea
hat	hat
gesagt	gesagt
:	:
"	"
Oh	Oh
oh	oh
.	.
"	"
^	
Lera	Lea
und	und
dodo	Dodo
sind	sind
hinter	hinter
dem	dem
Bus	Bus
hergerant	hergerannt
^	
die	die
beiden	beiden
sind	sind
nicht	nicht
weiter	weiter
gekommen	gekommen
.	.
^	
Der	Der
Oper	Opa
hat	hat
Rucksagk	Rucksack
an	an
das	das
^	
Fundbüro	Fundbüro
gegeben	gegeben
.	.
Fileischt	Vielleicht
Lera	Lea
oft	oft
die	die
^	
sachen	Sachen
verloren	verloren
deswegen	deswegen
weißt	weißt
sie	sie
wo	wo
das	das
^	
Fundbüro	Fundbüro
ist	ist
und	und
sie	sie
ist	ist
ins	ins
Fundbüro	Fundbüro
gegangen	gegangen
^	
und	und
die	die
Rucksagk	Rucksack
genommen	genommen
Lera	Lea
hat	hat
gesagt	gesagt
:	:
"	"
Danke	Danke
schön	schön
.	.
"	"
^	
Der	Der
Mann	Mann
hat	hat
gesagt	gesagt
:	:
"	"
Du	Du
sollst	sollst
nicht	nicht
mir	mir
danken	danken
^	
sonder	sondern
du	du
muss	muss
zu	zu
dem	dem
alten	alten
Oper	Opa
^	
danken	danken
er	er
hat	hat
das	das
gefunden	gefunden
zu	zu
mir	mir
gegeben	gegeben
.	.
"	"
