Mein	Mein
verloren	verloren
Tasche	Tasche
\h	\h
Ein_mal	Einmal
verte	~fährte
Lea	Lea
und	und
Dodo	Dodo
mit	mit
den	den
Bus	Bus
.	.
Neben	Neben
Lea	Lea
^	
saß	saß
Herr	Herr
Weißer	Weißer
.	.
Lea	Lea
schaute	schaute
von	von
dem	dem
Fenster	Fenster
aus	aus
.	.
Der	Der
^	
Buss_fahrt	Busfahrt
dauerte	dauerte
sehr	sehr
lang	lang
.	.
Lea	Lea
stieg	stieg
aus	aus
mit	mit
Dodo	Dodo
^	
Danach	Danach
gingte	~gingte
sie	sie
nach	nach
Haus	Haus
.	.
Plötztlich	Plötzlich
hat	hat
Lea	Lea
bemährkt	bemerkt
^	
das	dass
sie	sie
ihre	ihre
Tasche	Tasche
vergessen	vergessen
hat	hat
.	.
Da	Da
klopfte	klopfte
^	
Herr	Herr
Weißer	Weißer
und	und
klopfte	klopfte
.	.
Lea	Lea
rante	rannte
sehr	sehr
schnell	schnell
^	
und	und
Dodo	Dodo
auch	auch
.	.
Herr	Herr
Weißer	Weißer
stieg	stieg
aus	aus
und	und
ging	ging
^	
zur	zur
Fundbüro	Fundbüro
.	.
Der	Der
Mann	Mann
hat	hat
Herr	Herr
Weißer	Weißer
ein	ein
^	
Nrummer	Nummer
gegeben	gegeben
.	.
Jetzt	Jetzt
hat	hat
Herr	Herr
Weißer	Weißer
sich	sich
^	
besehr	besser
gefühlt	gefühlt
.	.
Danach	Danach
ist	ist
Lea	Lea
zur	zur
Fundbüro	Fundbüro
^	
gegangen	gegangen
und	und
hat	hat
gesagt	gesagt
:	:
"	"
Ich	Ich
suche	suche
ein	ein
gelbe	gelbe
^	
Tasche	Tasche
.	.
"	"
Da	Da
hat	hat
der	der
Mann	Mann
gelacht	gelacht
und	und
^	
hat	hat
Lea	Lea
ihr	ihr
Tasche	Tasche
gegeben	gegeben
.	.
Lea	Lea
hat	hat
sich	sich
^	
gefreud	gefreut
und	und
ist	ist
nach	nach
Hause	Hause
gegangen	gegangen
.	.
