Der	Der
verschwundene	verschwundene
Rucksack	Rucksack
\h	\h
Lea	Lea
saß	saß
im	im
Bus	Bus
mit	mit
Dodo	Dodo
ihrem	ihrem
Hund	Hund
^	
sie	sie
kukt	kuckt
aus	aus
dem	dem
Fehnster	Fenster
der	der
Hund	Hund
^	
kukt	kuckt
den	den
man	Mann
an	an
und	und
der	der
man	Mann
sied	sieht
den	den
^	
Hund	Hund
an	an
der	der
Bus	Bus
hält	hält
an	an
Lea	Lea
stig	stieg
^	
aus	aus
sie	sie
wolte	wollte
nach	nach
Hause	Hause
gehen	gehen
aber	aber
Plöttslich	Plötzlich
^	
bemerkt	bemerkt
das	das
Mädchen	Mädchen
das	dass
sie	sie
ihre	ihre
Tasche	Tasche
im	im
^	
Bus	Bus
vergesen	vergessen
hat	hat
der	der
Mann	Mann
der	der
gegenüber	gegenüber
^	
von	von
Lea	Lea
saß	saß
er	er
sackt	sagt
du	du
hast	hast
deine	deine
Tasche	Tasche
^	
vergesen	vergessen
aber	aber
der	der
Bus	Bus
ist	ist
schon	schon
los_gefaren	losgefahren
.	.
^	
Lea	Lea
rent	rennt
hinterher	hinterher
aber	aber
sie	sie
kann	kann
nicht	nicht
mer	mehr
^	
renen	rennen
der	der
Mann	Mann
ging	ging
ins	ins
Funddüro	Fundbüro
er	er
^	
muste	musste
eine	eine
numer	Nummer
ziehen	ziehen
er	er
hate	hatte
die	die
numer	Nummer
^	
achtundreisig	achtunddreißig
der	der
mitarbeiter	Mitarbeiter
des	des
geschäfts	Geschäfts
^	
hat	hat
die	die
mumer	Nummer
mit	mit
einer	einer
Wäscheklamer	Wäscheklammer
^	
an	an
die	die
Tasche	Tasche
gemacht	gemacht
der	der
man	Mann
^	
hat	hat
Lea	Lea
beschrieben	beschrieben
damit	damit
der	der
arbeiter	Arbeiter
^	
es	es
nicht	nicht
der	der
Falschen	Falschen
gipt	gibt
Lea	Lea
hat	hat
^	
nachgedacht	nachgedacht
wo	wo
der	der
man	Mann
die	die
Tasche	Tasche
^	
hinbringen	hinbringen
könte	könnte
dan	dann
hate	hatte
sie	sie
eine	eine
ide	Idee
^	
sie	sie
ist	ist
zum	zum
Fund_Büro	Fundbüro
gegangen	gegangen
dan	dann
^	
hat	hat
sie	sie
gesackt	gesagt
haben	haben
sie	Sie
heute	heute
eine	eine
Tasche	Tasche
^	
bekomen	bekommen
der	der
man	Mann
hat	hat
j	ja
gesackt	gesagt
er	er
hat	hat
^	
nachgesackt	nachgesagt
kanst	kannst
du	du
mir	mir
sagen	sagen
was	was
^	
da	da
drin	drin
ist	ist
dmit	damit
ich	ich
sicher	sicher
bin	bin
ob|	ob
es	es
^	
deine	deine
Tasche	Tasche
ist	ist
Lea	Lea
hat	hat
gesackt	gesagt
was	was
^	
drin	drin
ist	ist
sie	sie
hat	hat
die	die
Tasche	Tasche
wieder	wieder
^	
bekomen	bekommen
sie	sie
war	war
so	so
Fro	froh
Dobo	Dodo
ht	hat
sich	sich
mit	mit
^	
ihr	ihr
gefreut	gefreut
.	.
^	
ENDE	ENDE
!	!
