Lars	Lars
und	und
Lea	Lea
haten	hatten
eine	eine
Idee	Idee
,	,
^	
Sie	Sie
wollten	wollten
einen	einen
Teddybär	Teddybär
in	in
^	
eine	eine
Gondel	Gondel
fahren	fahren
lassen	lassen
.	.
Des_halb	Deshalb
^	
haben	haben
sie	sie
eine	eine
Seil_bahn	Seilbahn
gemacht	gemacht
^	
und	und
den	den
Teddy	Teddy
fahren	fahren
gelassen	gelassen
.	.
^	
Auf	auf
ein_mal	einmal
ist	ist
das	das
seil	Seil
stecken	stecken
^	
ge_bliben	geblieben
und	und
dann	dann
ist	ist
ein	ein
riss	Riss
ge_^kommen	gekommen
.	.
Lea	Lea
hat	hat
sich	sich
er_schrocken	erschrocken
.	.
^	
Lars	Lars
wollte	wollte
das	das
seil	Seil
fest	fest
^	
hallten	halten
doch	doch
auf	auf
ein_mal	einmal
^	
schwinkte	~schwingte
das	das
seil	Seil
zum	zum
fen-^ster	Fenster
und	und
bumm	bumm
ist	ist
das	das
^	
Fenster	Fenster
kapput	kaputt
.	.
Da	Da
kugte	kuckte
^	
Lars	Lars
nachbarin	Nachbarin
aus	aus
den	den
za-^brochenden	zerbrochenen
Fenster	Fenster
und	und
sagte	sagte
:	:
"	"
^	
wer	Wer
war	war
das	das
.	.
"	"
Lea	Lea
und	und
Lars	Lars
sagten-	sagten
^	
:	:
"	"
Es	Es
tut	tut
uns	uns
leid	leid
.	.
Die	Die
^	
Frau	Frau
lahte	lachte
und	und
sagte	sagte
dazu	dazu
:	:
Ok	Ok
^	
Endschuldigung	Entschuldigung
angenommen	angenommen
.	.
Ende	Ende
