Lea	Lea
und	und
Lars	Lars
spielen	spielen
dan	dann
mit	mit
den	den
Bodi	Bodi
^	
dan	dann
kommt	kommt
der	der
Dodo	Dodo
und	und
Dodo	Dodo
^	
get	geht
in	in
der	der
kiste	Kiste
das	das
war	war
Sammstag	Samstag
^	
dan	dann
ist	ist
Dodo	Dodo
in	in
der	der
kiste	Kiste
gegangen	gegangen
^	
dan	dann
war	war
der	der
unter	unter
der	der
kiste	Kiste
dan	dann
^	
hat	hat
er	er
sich	sich
hingesezt	hingesetzt
dan	dann
ist	ist
^	
der	der
Bodi	Bodi
ist	ist
runder	runter
gefalen	gefallen
dan	dann
^	
ist	ist
der	der
tom	Turm
runder	runder
gefalen	gefallen
dan	dann
^	
haben	haben
die	die
das	das
gesen	gesehen
das	das
Dodo	Dodo
^	
haben	haben
die	die
gesen	gesehen
das	dass
er	er
Dodo	Dodo
^	
raus	raus
gekomen	gekommen
ist	ist
dan	dann
haben	haben
^	
sie	sie
ale	alle
gelacht	gelacht
.	.
