|original|suggestions|rule_id
0|belt|['Belt', 'Welt', 'bald', 'hält', 'Geld', 'Feld', 'Held', 'Zelt', 'bebt', 'bellt', 'perlt', 'pell', 'best', 'meld', 'peilt', 'pellt', 'pult', 'zelt', 'bei', 'seit']|GERMAN_SPELLER_RULE
1|kukt|['rückt', 'zückt', 'bückt', 'guckt', 'kickt', 'kackt', 'gut', 'rückte', 'deckt', 'fügt', 'Lücke', 'lockt', 'weckt', 'packt', 'Mücke', 'kund', 'kürt', 'lügt', 'hackt', 'hockt']|GERMAN_SPELLER_RULE
2|dan|['dann', 'Dan', 'den', 'an', 'das', 'man', 'da', 'dar', 'van', 'San', 'tun', 'Jan', 'dank', 'tat', 'dran', 'ran', 'tank', 'Fan', 'Idan', 'Pan']|GERMAN_SPELLER_RULE
3|gekricht|['gebricht', 'gegeigt', 'gekickt', 'gekracht', 'gebracht', 'geprägt', 'gezeigt', 'Gericht', 'Bericht', 'gefragt', 'gerecht', 'gekocht', 'geneigt', 'gereicht', 'Rücksicht', 'gerückt', 'geklagt', 'geeicht', 'gegrillt', 'geknickt']|GERMAN_SPELLER_RULE
4|leken|['legen', 'locken', 'lägen', 'Säcken', 'lecken', 'gegen', 'wegen', 'leben', 'lagen', 'lesen', 'Becken', 'decken', 'dicken', 'legten', 'lenken', 'locker', 'regen', 'rücken', 'Lücken', 'Nacken']|GERMAN_SPELLER_RULE
5|felt|['Welt', 'fest', 'fällt', 'hält', 'Geld', 'fehlt', 'Feld', 'Held', 'fett', 'Zelt', 'fegt', 'Belt', 'feilt', 'feit', 'fielt', 'meld', 'pfählt', 'zelt', 'seit']|GERMAN_SPELLER_RULE
6|wolte|['wollte', 'holte', 'volle', 'wohnte', 'wolle', 'wilde', 'Nolte', 'Nolde', 'Bolte', 'Dolde', 'holde', 'wölbte', 'Golde', 'Solde', 'Volte', 'johlte', 'nölte', 'vote', 'walte', 'wogte']|GERMAN_SPELLER_RULE
7|lekt|['legt', 'lockt', 'leckt', 'bäckt', 'lägt', 'lebt', 'legte', 'deckt', 'lädt', 'rückt', 'lenkt', 'lockte', 'weckt', 'Bäcker', 'hegt', 'lege', 'leid', 'läge', 'packt', 'regt']|GERMAN_SPELLER_RULE
8|fom|['FOM', 'vom', 'von', 'vor', 'Rom', 'Dom', 'vorm', 'zoom', 'Boom', 'Tom', 'Zoom', 'im', 'dem', 'für', 'am', 'um', 'zum', 'so', 'ihm', 'kam']|GERMAN_SPELLER_RULE
9|gawen|['kamen', 'gaben', 'kämen', 'gäben', 'kauen', 'garen', 'gären', 'Laven', 'käsen', 'Maven', 'gegen', 'kann', 'waren', 'haben', 'Namen', 'davon', 'geben', 'gehen', 'bauen', 'ganzen']|GERMAN_SPELLER_RULE
10|din|['DIN', 'die', 'in', 'den', 'ein', 'hin', 'tun', 'bin', 'min', 'dein', 'dir', 'Odin', 'drin', 'div', 'Ein', 'Gin', 'Pin', 'Yin', 'der', 'des']|GERMAN_SPELLER_RULE
11|Keld|['Welt', 'Geht', 'Hält', 'Gilt', 'Geld', 'Feld', 'Galt', 'Held', 'Kent', 'Kult', 'Gelb', 'Kälte', 'Zelt', 'Belt', 'Kalt', 'Gelte', 'Kelte', 'Kilt', 'Gebt', 'Meld']|GERMAN_SPELLER_RULE
12|gien|['kein', 'Wien', 'gen', 'knien', 'Kien', 'chicen', 'gier', 'gieß', 'die', 'in', 'den', 'ein', 'eine', 'einen', 'sie', 'wie', 'gegen', 'kann', 'sein', 'gibt']|GERMAN_SPELLER_RULE
13|nahaise|['anheize', 'anheizen', 'anheizte', 'Falaise', 'Malaise', 'anheizt', 'Chaise']|GERMAN_SPELLER_RULE
