Eeinen	Einen
morgen	Morgen
komt	kommt
zu	zu
Lea	Lea
sein	sein
Freund	Freund
zu	zu
^	
besuh	Besuch
und	und
Leas	Leas
Freund	Freund
hat	hat
ein	ein
pa	paar
kotonks	Kartons
^	
mit	mit
gebrach	gebracht
und	und
noch	noch
so	so
welche	welche
Steine	Steine
^	
bausteine	Bausteine
mit_gebracht	mitgebracht
und	und
dan	dann
haben	haben
^	
sie	sie
das	das
Katonk	Karton
aus_gebakt	ausgepackt
also	also
bausteine	Bausteine
^	
mit	mit
gebrach	gebracht
zum	zum
spielen	Spielen
und	und
dan	dann
^	
haten	hatten
sie	sie
ein	ein
hede	Idee
für	für
die	die
spielsteine	Spielsteine
^	
gefunden	gefunden
und	und
gespiel	gespielt
und	und
sie	sie
haten	hatten
^	
mit	mit
den	den
spiel_steinen	Spielsteinen
einen	einen
Burk	Burg
gebaut	gebaut
^	
und	und
Dodo	Dodo
ist	ist
unter	unter
der	der
Katon	Karton
reingegangen	reingegangen
^	
sie	sie
haten	hatten
angst	Angst
wal	weil
die	die
Burg	Burg
fileicht	vielleicht
^	
runder_falt	runterfällt
.	.
Dan	Dann
haben	haben
sie	sie
die	die
Burg	Burg
^	
fast	fast
fertiggemaht	fertiggemacht
die	die
lezden	letzten
3	3
steine	Steine
^	
und	und
Dodo	Dodo
ist	ist
under	unter
kotoak	Karton
reingenangen	reingegangen
^	
wal	weil
die	die
Kinder	Kinder
so	so
laut	laut
siend	sind
wolde	wollte
^	
Dodo	Dodo
ein	ein
schönen	schönen
leisen	leisen
Llas	Platz
haten	hatten
^	
und	und
Dodo	Dodo
get|	geht
rein	rein
.	.
Die	Die
haten	hatten
ales	alles
^	
fertik_gemacht	fertiggemacht
und	und
Las	Lars
wilte	~willte
sitsen	sitzen
^	
wilte	~willte
aber	aber
da	da
ist	ist
doch	doch
Dodo	Dodo
da	da
^	
runter	runter
der	der
wilte	~willte
doch	doch
nuhe	nur
eine	eine
^	
Stunde	Stunde
ruhe	Ruhe
haben	haben
sonst	sonst
garn	gar
nichts	nichts
^	
haben	haben
und	und
Las	Lars
sit	sitzt
sich	sich
auf	auf
den	den
katorn	Karton
^	
der	der
muss_de	musste
der	der
ist	ist
aufgebliben	aufgeblieben
und	und
^	
Lea	Lea
sein	sein
Freund|	Freund
un	und
Las	Lars
freun	freuen
sich	sich
gan	ganz
^	
viel	viel
die	die
haben	haben
es	es
noch	noch
geschaft	geschafft
^	
und	und
eimal	einmal
ist	ist
Lars	Lars
rundergefalen	runtergefallen
und	und
^	
hat	hat
sich	sich
wegutarhn	wehgetan
und	und
Lea	Lea
kante	kannte
^	
Lars	Lars
nicht	nicht
festhalten	festhalten
und	und
ist	ist
runtergefalen	runtergefallen
^	
und	und
dan	dann
ist	ist
ales	alles
runtergefalen	runtergefallen
auf	auf
^	
leas	Leas
Freund	Freund
sie	sie
haben	haben
sie	sie
erschroken	erschrocken
^	
und	und
Lars	Lars
Bein	Bein
ist	ist
ferkinikt	~verknickt
und	und
hat	hat
^	
wegetanrn	wehgetan
.	.
Und	Und
haben	haben
auf	auf
disen	diesen
^	
kotonk	Karton
gekukt	gekuckt
und	und
das	das
katonk	Karton
ist	ist
^	
fer_risen	~verrissen
und	und
die	die
bausteine	Bausteine
ist	ist
auf	auf
^	
leas	Leas
Freund	Freund
gefalen	gefallen
auf	auf
den	den
haht	hat
die	die
^	
denk_den	~denkten
das	dass
war	war
ein	ein
geisth	Geist
.	.
Und	Und
dan	dann
^	
und	und
dan	dann
haben	haben
sie	sie
auf	auf
einmal	einmal
^	
gekukt	gekuckt
und	und
da	da
ist	ist
Dodo	Dodo
rausgekomen	rausgekommen
^	
un|	und
daan	dann
gelacht	gelacht
die	die
haben	haben
gesakkt	gesagt
^	
ahah	ah
das	das
war	war
also	also
Dodo	Dodo
also	also
^	
haben	haben
wier	wir
herrausgefunden	herausgefunden
Dodo	Dodo
^	
Dodo	Dodo
und	und
Lea	Lea
sakt	sagt
Dodo	Dodo
warum	warum
^	
hast	hast
du	du
das	das
den	denn
genaht	gemacht
aDodo	Dodo
^	
könte	könnte
docch	doch
nich	nicht
sprechen	sprechen
und	und
hut	hat
^	
gebrült	gebrüllt
und	und
dan	dann
haben	haben
sie	sie
gelaht	gelacht
^	
ende	Ende
.	.
