am	Am
ein	ein
Schünen	schönen
Tag	Tag
^	
ate	hatte
Lea	Lea
und	und
Lars	Lars
und	und
Cem	Cem
^	
eine	eine
Burk	Burg
ge_Baut	gebaut
.	.
^	
und	und
als	als
sie	sie
die	die
Burk	Burg
ge_Bauten	~gebauten
^	
haten	hatten
hate	hatte
Dodo	Dodo
siesch	sich
unterm	unterm
^	
Katan	Karton
wer_schtegt	versteckt
.	.
^	
und	und
dan	dann
wollte	wollte
Lars	Lars
^	
siesch	sich
hinsesen	hinsetzen
.	.
und	und
Dodo	Dodo
^	
ate	hatte
siesch	sich
im	im
Kartan	Karton
^	
Be_wekt	bewegt
.	.
und	und
Lars	Lars
^	
walte	~fallte
runter	runter
und	und
wer_^schtürte	zerstörte
die	die
Burk	Burg
.	.
^	
und	und
in	in
den	den
Karton	Karton
^	
Kam	kam
Dodo	Dodo
raus	raus
^	
und	und
alle	alle
lachten	lachten
.	.
